locus_tag	ftype	length_bp	gene	EC_number	COG	product
ALMEEEHM_00001	CDS	759				hypothetical protein
ALMEEEHM_00002	CDS	765	hpcE_1			Homoprotocatechuate catabolism bifunctional isomerase/decarboxylase
ALMEEEHM_00003	CDS	633	hpcE_2			Homoprotocatechuate catabolism bifunctional isomerase/decarboxylase
ALMEEEHM_00004	CDS	333				hypothetical protein
ALMEEEHM_00005	CDS	330				hypothetical protein
ALMEEEHM_00006	CDS	1017	lhpD_1	1.5.1.21		Delta(1)-pyrroline-2-carboxylate/Delta(1)-piperideine-2-carboxylate reductase
ALMEEEHM_00007	CDS	1221		4.1.2.42		D-threonine aldolase
ALMEEEHM_00008	CDS	1440	dan_1	3.5.1.81	COG3653	D-aminoacylase
ALMEEEHM_00009	CDS	393	tdcF_1	3.5.4.-	COG0251	Putative reactive intermediate deaminase TdcF
ALMEEEHM_00010	CDS	1488	opuE_1		COG0591	Osmoregulated proline transporter OpuE
ALMEEEHM_00011	CDS	873	dgoK_1	2.7.1.58	COG3734	2-dehydro-3-deoxygalactonokinase
ALMEEEHM_00012	CDS	600	dgoA_1	4.1.2.21	COG0800	2-dehydro-3-deoxy-6-phosphogalactonate aldolase
ALMEEEHM_00013	CDS	864	hexR_1		COG1737	HTH-type transcriptional regulator HexR
ALMEEEHM_00014	CDS	534	rimI_1	2.3.1.266		[Ribosomal protein bS18]-alanine N-acetyltransferase
ALMEEEHM_00015	CDS	831	rimI_2	2.3.1.266		[Ribosomal protein bS18]-alanine N-acetyltransferase
ALMEEEHM_00016	CDS	1662	norR_1			Anaerobic nitric oxide reductase transcription regulator NorR
ALMEEEHM_00017	CDS	981			COG3039	IS5 family transposase ISKpn26
ALMEEEHM_00018	CDS	1140	arnB	2.6.1.87	COG0399	UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase
ALMEEEHM_00019	CDS	984	arnC	2.4.2.53	COG0463	Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
ALMEEEHM_00020	CDS	1986	arnA		COG0223	Bifunctional polymyxin resistance protein ArnA
ALMEEEHM_00021	CDS	903	arnD	3.5.1.-	COG0726	putative 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD
ALMEEEHM_00022	CDS	1656	arnT	2.4.2.43	COG1807	Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase
ALMEEEHM_00023	CDS	339	arnE		COG2076	putative 4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnE
ALMEEEHM_00024	CDS	381	arnF		COG2076	putative 4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnF
ALMEEEHM_00025	CDS	1050	yhhT_1		COG0628	Putative transport protein YhhT
ALMEEEHM_00026	CDS	1221	yhhS_1		COG0477	putative MFS-type transporter YhhS
ALMEEEHM_00027	CDS	558	dcrB			Inner membrane lipoprotein DcrB
ALMEEEHM_00028	CDS	666	yhhQ		COG1738	Queuosine precursor transporter
ALMEEEHM_00029	CDS	246	tusA		COG0425	Sulfur carrier protein TusA
ALMEEEHM_00030	CDS	2211	zntA	7.2.2.-		Zinc/cadmium/lead-transporting P-type ATPase
ALMEEEHM_00031	CDS	627				hypothetical protein
ALMEEEHM_00032	CDS	360				hypothetical protein
ALMEEEHM_00033	CDS	276				hypothetical protein
ALMEEEHM_00034	CDS	597	rsmD	2.1.1.171	COG0742	Ribosomal RNA small subunit methyltransferase D
ALMEEEHM_00035	CDS	1524	ftsY	3.6.5.4	COG0552	Signal recognition particle receptor FtsY
ALMEEEHM_00036	CDS	669	ftsE		COG2884	Cell division ATP-binding protein FtsE
ALMEEEHM_00037	CDS	1056	ftsX		COG2177	Cell division protein FtsX
ALMEEEHM_00038	CDS	855	rpoH		COG0568	RNA polymerase sigma factor RpoH
ALMEEEHM_00039	CDS	1524	gabR_1		COG1167	HTH-type transcriptional regulatory protein GabR
ALMEEEHM_00040	CDS	1266	puuE	2.6.1.19	COG0160	4-aminobutyrate aminotransferase PuuE
ALMEEEHM_00041	CDS	1005				IS110 family transposase IS5075
ALMEEEHM_00042	CDS	1305				hypothetical protein
ALMEEEHM_00043	CDS	1098	livJ		COG0683	Leu/Ile/Val-binding protein
ALMEEEHM_00044	CDS	384	panM			PanD regulatory factor
ALMEEEHM_00045	CDS	1206	livK		COG0683	Leucine-specific-binding protein
ALMEEEHM_00046	CDS	927	livH_1		COG0559	High-affinity branched-chain amino acid transport system permease protein LivH
ALMEEEHM_00047	CDS	1278				hypothetical protein
ALMEEEHM_00048	CDS	768	lptB_1	7.5.2.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
ALMEEEHM_00049	CDS	714	livF_1		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF
ALMEEEHM_00050	CDS	222				hypothetical protein
ALMEEEHM_00051	CDS	375				hypothetical protein
ALMEEEHM_00052	CDS	1317	ugpB_1		COG1653	sn-glycerol-3-phosphate-binding periplasmic protein UgpB
ALMEEEHM_00053	CDS	888	ugpA_1		COG1175	sn-glycerol-3-phosphate transport system permease protein UgpA
ALMEEEHM_00054	CDS	846	ugpE		COG0395	sn-glycerol-3-phosphate transport system permease protein UgpE
ALMEEEHM_00055	CDS	1071	ugpC_1	7.6.2.10		sn-glycerol-3-phosphate import ATP-binding protein UgpC
ALMEEEHM_00056	CDS	741	ugpQ	3.1.4.46	COG0584	Glycerophosphodiester phosphodiesterase, cytoplasmic
ALMEEEHM_00057	CDS	321	yhhA			putative protein YhhA
ALMEEEHM_00058	CDS	1746	ggt	3.4.19.13	COG0405	Glutathione hydrolase proenzyme
ALMEEEHM_00059	CDS	489	aaaT	2.3.1.-	COG1247	L-amino acid N-acetyltransferase AaaT
ALMEEEHM_00060	CDS	654				hypothetical protein
ALMEEEHM_00061	CDS	1038	yhhX	1.-.-.-	COG0673	putative oxidoreductase YhhX
ALMEEEHM_00062	CDS	696	yhhW	1.13.11.24	COG1741	Quercetin 2,3-dioxygenase
ALMEEEHM_00063	CDS	996	gntR_1		COG1609	HTH-type transcriptional regulator GntR
ALMEEEHM_00064	CDS	531	gntK	2.7.1.12	COG3265	Thermoresistant gluconokinase
ALMEEEHM_00065	CDS	1266	gntU		COG2610	Low-affinity gluconate transporter
ALMEEEHM_00066	CDS	1107	asd_1	1.2.1.11	COG0136	Aspartate-semialdehyde dehydrogenase
ALMEEEHM_00067	CDS	2187	glgB	2.4.1.18	COG0296	1,4-alpha-glucan branching enzyme GlgB
ALMEEEHM_00068	CDS	1977	glgX	3.2.1.196	COG1523	Glycogen debranching enzyme
ALMEEEHM_00069	CDS	1296	glgC_1	2.7.7.27	COG0448	Glucose-1-phosphate adenylyltransferase
ALMEEEHM_00070	CDS	1434	glgA	2.4.1.21	COG0297	Glycogen synthase
ALMEEEHM_00071	CDS	2448	malP_1	2.4.1.1	COG0058	Maltodextrin phosphorylase
ALMEEEHM_00072	CDS	357	glpD_1	1.1.5.3	COG0578	Aerobic glycerol-3-phosphate dehydrogenase
ALMEEEHM_00073	CDS	1065	glpD_2	1.1.5.3	COG0578	Aerobic glycerol-3-phosphate dehydrogenase
ALMEEEHM_00074	CDS	330	glpE_1	2.8.1.1	COG0607	Thiosulfate sulfurtransferase GlpE
ALMEEEHM_00075	CDS	825	glpG	3.4.21.105	COG0705	Rhomboid protease GlpG
ALMEEEHM_00076	CDS	759	glpR_1		COG1349	Glycerol-3-phosphate regulon repressor
ALMEEEHM_00077	CDS	2706	malT_1		COG2909	HTH-type transcriptional regulator MalT
ALMEEEHM_00078	CDS	2391	malP_2	2.4.1.1	COG0058	Maltodextrin phosphorylase
ALMEEEHM_00079	CDS	2094	malQ	2.4.1.25	COG1640	4-alpha-glucanotransferase
ALMEEEHM_00080	CDS	1317	gntT		COG2610	High-affinity gluconate transporter
ALMEEEHM_00081	CDS	576	nfuA		COG0316	Fe/S biogenesis protein NfuA
ALMEEEHM_00082	CDS	675				hypothetical protein
ALMEEEHM_00083	CDS	774	bioH_1	3.1.1.85		Pimeloyl-[acyl-carrier protein] methyl ester esterase
ALMEEEHM_00084	CDS	270				hypothetical protein
ALMEEEHM_00085	CDS	240	feoC			putative [Fe-S]-dependent transcriptional repressor
ALMEEEHM_00086	CDS	2319	feoB		COG0370	Fe(2+) transporter FeoB
ALMEEEHM_00087	CDS	228	feoA		COG1918	Fe(2+) transport protein A
ALMEEEHM_00088	CDS	2331	yhgF		COG2183	Protein YhgF
ALMEEEHM_00089	CDS	603	greB			Transcription elongation factor GreB
ALMEEEHM_00090	CDS	720	ompR_1		COG0745	DNA-binding dual transcriptional regulator OmpR
ALMEEEHM_00091	CDS	1356	envZ			two-component system sensor histidine kinase EnvZ
ALMEEEHM_00092	CDS	1623	pckA_1	4.1.1.49	COG1866	Phosphoenolpyruvate carboxykinase (ATP)
ALMEEEHM_00093	CDS	879	hslO		COG1281	33 kDa chaperonin
ALMEEEHM_00094	CDS	402	hslR		COG1188	Heat shock protein 15
ALMEEEHM_00095	CDS	684	yrfG	3.1.3.5	COG1011	GMP/IMP nucleotidase YrfG
ALMEEEHM_00096	CDS	2130	igaA			Intracellular growth attenuator protein IgaA
ALMEEEHM_00097	CDS	567	nudE	3.6.1.-	COG0494	ADP compounds hydrolase NudE
ALMEEEHM_00098	CDS	2559	mrcA		COG5009	Penicillin-binding protein 1A
ALMEEEHM_00099	CDS	801				hypothetical protein
ALMEEEHM_00100	CDS	534				hypothetical protein
ALMEEEHM_00101	CDS	429				hypothetical protein
ALMEEEHM_00102	CDS	1248	pilQ			Type IV pilus biogenesis and competence protein PilQ
ALMEEEHM_00103	CDS	522	aroK	2.7.1.71	COG0703	Shikimate kinase 1
ALMEEEHM_00104	CDS	1095	aroB	4.2.3.4	COG0337	3-dehydroquinate synthase
ALMEEEHM_00105	CDS	1287	damX		COG3266	Cell division protein DamX
ALMEEEHM_00106	CDS	828	dam_1	2.1.1.72	COG0338	DNA adenine methylase
ALMEEEHM_00107	CDS	678	rpe	5.1.3.1	COG0036	Ribulose-phosphate 3-epimerase
ALMEEEHM_00108	CDS	762	gph	3.1.3.18	COG0546	Phosphoglycolate phosphatase
