qseqid	sseqid	qlen	slen	qstart	qend	sstart	send	length	mismatch	pident	qcovhsp	qcovs	sstrand	evalue	bitscore	biomarker
HG428760|MOBH	JBVQSA010000002.1 Klebsiella pneumoniae strain KK22 plasmid pKK22_1, whole genome shotgun sequence	398	137590	1	398	113851	114248	398	0	100.0	100.0	100.0	minus	0.0	736	oriT
000092__CP025470|IncC	JBVQSA010000002.1 Klebsiella pneumoniae strain KK22 plasmid pKK22_1, whole genome shotgun sequence	1101	137590	1	1101	111934	113034	1101	9	99.183	100.0	100.0	minus	0.0	1984	replicon
000107__CP014778_00094|IncFIB	JBVQSA010000003.1 Klebsiella pneumoniae strain KK22 plasmid pKK22_2, whole genome shotgun sequence	1011	103765	1	1011	11093	12103	1011	98	90.307	100.0	100.0	plus	0.0	1325	replicon
CP017721_00179|rep_cluster_2183	JBVQSA010000003.1 Klebsiella pneumoniae strain KK22 plasmid pKK22_2, whole genome shotgun sequence	864	103765	37	864	97057	97884	830	146	81.928	96.0	96.0	minus	0.0	699	replicon
000132__HG969996|IncFII	JBVQSA010000003.1 Klebsiella pneumoniae strain KK22 plasmid pKK22_2, whole genome shotgun sequence	235	103765	1	235	97919	98153	235	1	99.574	100.0	100.0	plus	6.26e-121	429	replicon
JN420336|IncHI1B	JBVQSA010000004.1 Klebsiella pneumoniae strain KK22 plasmid pKK22_3, whole genome shotgun sequence	570	245729	1	570	36367	36936	570	1	99.825	100.0	100.0	minus	0.0	1048	replicon
CP024497_00001|IncFIB	JBVQSA010000004.1 Klebsiella pneumoniae strain KK22 plasmid pKK22_3, whole genome shotgun sequence	1089	245729	27	1089	124164	125226	1064	75	92.763	98.0	98.0	plus	0.0	1537	replicon
000129__CP018340|IncFII	JBVQSA010000005.1 Klebsiella pneumoniae strain KK22 plasmid pKK22_4, whole genome shotgun sequence	235	49154	1	235	3631	3865	235	1	99.574	100.0	100.0	minus	6.26e-121	429	replicon
CP033468_00001|rep_cluster_2183	JBVQSA010000005.1 Klebsiella pneumoniae strain KK22 plasmid pKK22_4, whole genome shotgun sequence	864	49154	37	864	3900	4727	830	143	82.289	96.0	96.0	plus	0.0	715	replicon
AF250878|IncFIA	JBVQSA010000005.1 Klebsiella pneumoniae strain KK22 plasmid pKK22_4, whole genome shotgun sequence	388	49154	3	388	34743	35128	387	18	94.832	99.0	99.0	plus	5.9600000000000006e-173	603	replicon
000759__NC_013950_00034|rep_cluster_1418	JBVQSA010000006.1 Klebsiella pneumoniae strain KK22 plasmid pKK22_5, whole genome shotgun sequence	876	95703	1	876	94317	95192	876	0	100.0	100.0	100.0	minus	0.0	1618	replicon
NC_012690_00071|MOBH	JBVQSA010000002.1 Klebsiella pneumoniae strain KK22 plasmid pKK22_1, whole genome shotgun sequence	458	137590	245	458	60225	60866	214	4	98.131	47.0	100.0	minus	1.82e-139	440	relaxase
NC_012885_00072|MOBH	JBVQSA010000002.1 Klebsiella pneumoniae strain KK22 plasmid pKK22_1, whole genome shotgun sequence	987	137590	1	986	67427	70393	991	104	88.799	99.0	99.0	minus	0.0	1597	relaxase
NC_016980_00239|MOBH	JBVQSA010000004.1 Klebsiella pneumoniae strain KK22 plasmid pKK22_3, whole genome shotgun sequence	982	245729	1	982	223575	226505	982	59	93.483	100.0	100.0	plus	0.0	1774	relaxase
NC_010726_00014|MPF_T	CM146776.1 Klebsiella pneumoniae strain KK22 chromosome, complete sequence, whole genome shotgun sequence	301	5279081	1	301	2827779	2828681	301	3	99.003	100.0	100.0	minus	0.0	617	mate-pair-formation
NC_005814_00013|MPF_T	CM146776.1 Klebsiella pneumoniae strain KK22 chromosome, complete sequence, whole genome shotgun sequence	227	5279081	1	227	2828684	2829364	227	3	98.678	100.0	100.0	minus	1.85e-132	409	mate-pair-formation
NC_010726_00011|MPF_T	CM146776.1 Klebsiella pneumoniae strain KK22 chromosome, complete sequence, whole genome shotgun sequence	358	5279081	5	358	2829589	2830650	354	46	87.006	99.0	99.0	minus	2.85e-174	535	mate-pair-formation
NC_013284_00016|MPF_T	CM146776.1 Klebsiella pneumoniae strain KK22 chromosome, complete sequence, whole genome shotgun sequence	914	5279081	1	914	2831641	2834376	914	81	90.919	100.0	100.0	minus	0.0	1727	mate-pair-formation
NC_023291_00077|MPF_F	JBVQSA010000002.1 Klebsiella pneumoniae strain KK22 plasmid pKK22_1, whole genome shotgun sequence	335	137590	1	335	40711	41715	335	2	99.403	100.0	100.0	minus	0.0	582	mate-pair-formation
NC_012885_00091|MPF_F	JBVQSA010000002.1 Klebsiella pneumoniae strain KK22 plasmid pKK22_1, whole genome shotgun sequence	422	137590	1	422	42383	43645	422	24	94.076	100.0	100.0	minus	0.0	821	mate-pair-formation
NC_012885_00088|MPF_T	JBVQSA010000002.1 Klebsiella pneumoniae strain KK22 plasmid pKK22_1, whole genome shotgun sequence	815	137590	1	815	44470	46914	815	15	98.16	100.0	100.0	minus	0.0	1640	mate-pair-formation
NC_016974_00085|MPF_F	JBVQSA010000002.1 Klebsiella pneumoniae strain KK22 plasmid pKK22_1, whole genome shotgun sequence	192	137590	1	192	58337	58912	192	1	99.479	100.0	100.0	minus	8.66e-118	365	mate-pair-formation
NC_012885_00083|MPF_F	JBVQSA010000002.1 Klebsiella pneumoniae strain KK22 plasmid pKK22_1, whole genome shotgun sequence	438	137590	1	438	58912	60225	438	42	90.411	100.0	100.0	minus	0.0	752	mate-pair-formation
NC_014170_00023|MPF_F	JBVQSA010000002.1 Klebsiella pneumoniae strain KK22 plasmid pKK22_1, whole genome shotgun sequence	305	137590	1	305	60225	61139	305	24	92.131	100.0	100.0	minus	0.0	569	mate-pair-formation
NC_009140_00071|MPF_F	JBVQSA010000002.1 Klebsiella pneumoniae strain KK22 plasmid pKK22_1, whole genome shotgun sequence	621	137590	1	621	65562	67424	621	0	100.0	100.0	100.0	minus	0.0	1177	mate-pair-formation
NC_012885_00167|MPF_F	JBVQSA010000002.1 Klebsiella pneumoniae strain KK22 plasmid pKK22_1, whole genome shotgun sequence	477	137590	1	477	122841	124271	477	12	97.484	100.0	100.0	minus	0.0	931	mate-pair-formation
NC_016980_00110|MPF_F	JBVQSA010000004.1 Klebsiella pneumoniae strain KK22 plasmid pKK22_3, whole genome shotgun sequence	345	245729	1	345	63303	64337	345	0	100.0	100.0	100.0	minus	0.0	719	mate-pair-formation
NC_016980_00109|MPF_F	JBVQSA010000004.1 Klebsiella pneumoniae strain KK22 plasmid pKK22_3, whole genome shotgun sequence	453	245729	1	453	64337	65695	453	1	99.779	100.0	100.0	minus	0.0	937	mate-pair-formation
NC_016980_00099|MPF_T	JBVQSA010000004.1 Klebsiella pneumoniae strain KK22 plasmid pKK22_3, whole genome shotgun sequence	905	245729	1	905	75177	77891	905	11	98.785	100.0	100.0	minus	0.0	1825	mate-pair-formation
NC_018107_00101|MPF_F	JBVQSA010000004.1 Klebsiella pneumoniae strain KK22 plasmid pKK22_3, whole genome shotgun sequence	480	245729	1	480	216883	218322	480	18	96.25	100.0	100.0	minus	0.0	923	mate-pair-formation
NC_016980_00240|MPF_F	JBVQSA010000004.1 Klebsiella pneumoniae strain KK22 plasmid pKK22_3, whole genome shotgun sequence	708	245729	1	708	226498	228621	708	7	99.011	100.0	100.0	plus	0.0	1466	mate-pair-formation
