sample_id	molecule_type	primary_cluster_id	secondary_cluster_id	contig_id	size	gc	md5	mge_id	mge_acs	mge_type	mge_subtype	mge_length	mge_start	mge_end	contig_start	contig_end	length	sstrand	qcovhsp	pident	evalue	bitscore
GCA_053309215.1_ASM5330921v1_genomic.fna	chromosome			CM130000.1 Klebsiella pneumoniae strain KP1 chromosome, complete sequence, whole genome shotgun sequence	5289943	0.574274618838048	60c03e0574f4e7aa9f386d81834e7092	01399	CP016586.1	16s-rRNA	16S	1554	1	1554	309	1860						
GCA_053309215.1_ASM5330921v1_genomic.fna	chromosome			CM130000.1 Klebsiella pneumoniae strain KP1 chromosome, complete sequence, whole genome shotgun sequence	5289943	0.574274618838048	60c03e0574f4e7aa9f386d81834e7092	01400	CP016586.1	23s-rRNA	23S	3027	660	3027	2740	5107						
GCA_053309215.1_ASM5330921v1_genomic.fna	chromosome			CM130000.1 Klebsiella pneumoniae strain KP1 chromosome, complete sequence, whole genome shotgun sequence	5289943	0.574274618838048	60c03e0574f4e7aa9f386d81834e7092	01399	CP016586.1	16s-rRNA	16S	1554	1	1554	99701	101252						
GCA_053309215.1_ASM5330921v1_genomic.fna	chromosome			CM130000.1 Klebsiella pneumoniae strain KP1 chromosome, complete sequence, whole genome shotgun sequence	5289943	0.574274618838048	60c03e0574f4e7aa9f386d81834e7092	01400	CP016586.1	23s-rRNA	23S	3027	660	3027	102216	104583						
GCA_053309215.1_ASM5330921v1_genomic.fna	chromosome			CM130000.1 Klebsiella pneumoniae strain KP1 chromosome, complete sequence, whole genome shotgun sequence	5289943	0.574274618838048	60c03e0574f4e7aa9f386d81834e7092	01399	CP016586.1	16s-rRNA	16S	1554	1	1554	191584	193135						
GCA_053309215.1_ASM5330921v1_genomic.fna	chromosome			CM130000.1 Klebsiella pneumoniae strain KP1 chromosome, complete sequence, whole genome shotgun sequence	5289943	0.574274618838048	60c03e0574f4e7aa9f386d81834e7092	01400	CP016586.1	23s-rRNA	23S	3027	660	3027	194099	196466						
GCA_053309215.1_ASM5330921v1_genomic.fna	chromosome			CM130000.1 Klebsiella pneumoniae strain KP1 chromosome, complete sequence, whole genome shotgun sequence	5289943	0.574274618838048	60c03e0574f4e7aa9f386d81834e7092	01399	CP016586.1	16s-rRNA	16S	1554	1	1554	236713	238264						
GCA_053309215.1_ASM5330921v1_genomic.fna	chromosome			CM130000.1 Klebsiella pneumoniae strain KP1 chromosome, complete sequence, whole genome shotgun sequence	5289943	0.574274618838048	60c03e0574f4e7aa9f386d81834e7092	01400	CP016586.1	23s-rRNA	23S	3027	660	3027	239144	241511						
GCA_053309215.1_ASM5330921v1_genomic.fna	chromosome			CM130000.1 Klebsiella pneumoniae strain KP1 chromosome, complete sequence, whole genome shotgun sequence	5289943	0.574274618838048	60c03e0574f4e7aa9f386d81834e7092	00634	CP024842	IS1400	IS3	1207	1	1197	591763	592958						
GCA_053309215.1_ASM5330921v1_genomic.fna	chromosome			CM130000.1 Klebsiella pneumoniae strain KP1 chromosome, complete sequence, whole genome shotgun sequence	5289943	0.574274618838048	60c03e0574f4e7aa9f386d81834e7092	01399	CP016586.1	16s-rRNA	16S	1554	1	1554	632415	633966						
