qseqid	sseqid	qlen	slen	qstart	qend	sstart	send	length	mismatch	pident	qcovhsp	qcovs	sstrand	evalue	bitscore	biomarker
JN626286|IncL/M	JBRYHK010000001.1 Klebsiella pneumoniae strain KP1 plasmid pKP1_p1, whole genome shotgun sequence	661	62289	1	661	49041	49701	661	0	100.0	100.0	100.0	plus	0.0	1221	replicon
CP017721_00179|rep_cluster_2183	JBRYHK010000002.1 Klebsiella pneumoniae strain KP1 plasmid pKP1_p2, whole genome shotgun sequence	864	215370	37	864	50952	51779	830	143	82.289	96.0	96.0	minus	0.0	715	replicon
000128__CP023916|IncFII	JBRYHK010000002.1 Klebsiella pneumoniae strain KP1 plasmid pKP1_p2, whole genome shotgun sequence	234	215370	1	234	51814	52047	234	1	99.573	100.0	100.0	plus	2.11e-120	427	replicon
000107__CP014778_00094|IncFIB	JBRYHK010000002.1 Klebsiella pneumoniae strain KP1 plasmid pKP1_p2, whole genome shotgun sequence	1011	215370	1	1011	108957	109967	1011	99	90.208	100.0	100.0	plus	0.0	1319	replicon
NC_004464_00056|MOBP	JBRYHK010000001.1 Klebsiella pneumoniae strain KP1 plasmid pKP1_p1, whole genome shotgun sequence	659	62289	1	659	26592	28568	659	2	99.697	100.0	100.0	plus	0.0	1378	relaxase
NC_021231_00058|MOBF	JBRYHK010000002.1 Klebsiella pneumoniae strain KP1 plasmid pKP1_p2, whole genome shotgun sequence	1753	215370	1	1753	72676	77931	1753	71	95.893	100.0	100.0	minus	0.0	3292	relaxase
CP035180_00077|MOBF	JBRYHK010000002.1 Klebsiella pneumoniae strain KP1 plasmid pKP1_p2, whole genome shotgun sequence	687	215370	1	251	77943	78695	251	19	92.43	37.0	100.0	minus	0.0	385	relaxase
NC_013284_00016|MPF_T	CM130000.1 Klebsiella pneumoniae strain KP1 chromosome, complete sequence, whole genome shotgun sequence	914	5289943	1	914	3453360	3456095	914	81	90.919	100.0	100.0	plus	0.0	1727	mate-pair-formation
NC_010726_00011|MPF_T	CM130000.1 Klebsiella pneumoniae strain KP1 chromosome, complete sequence, whole genome shotgun sequence	358	5289943	5	358	3457086	3458147	354	45	87.288	99.0	99.0	plus	2.56e-175	538	mate-pair-formation
NC_005814_00013|MPF_T	CM130000.1 Klebsiella pneumoniae strain KP1 chromosome, complete sequence, whole genome shotgun sequence	227	5289943	1	227	3458372	3459052	227	3	98.678	100.0	100.0	plus	1.7500000000000003e-132	409	mate-pair-formation
NC_010726_00014|MPF_T	CM130000.1 Klebsiella pneumoniae strain KP1 chromosome, complete sequence, whole genome shotgun sequence	301	5289943	1	301	3459055	3459957	301	3	99.003	100.0	100.0	plus	0.0	617	mate-pair-formation
NC_005246_00057|MPF_I	JBRYHK010000001.1 Klebsiella pneumoniae strain KP1 plasmid pKP1_p1, whole genome shotgun sequence	259	62289	15	259	29124	29858	245	1	99.592	95.0	95.0	plus	1.54e-165	505	mate-pair-formation
NC_019063_00094|MPF_I	JBRYHK010000001.1 Klebsiella pneumoniae strain KP1 plasmid pKP1_p1, whole genome shotgun sequence	170	62289	1	170	34713	35222	170	1	99.412	100.0	100.0	plus	1.33e-111	346	mate-pair-formation
NC_019344_00078|MPF_I	JBRYHK010000001.1 Klebsiella pneumoniae strain KP1 plasmid pKP1_p1, whole genome shotgun sequence	237	62289	1	237	35888	36598	237	2	99.156	100.0	100.0	plus	1.54e-132	409	mate-pair-formation
