locus_tag	ftype	length_bp	gene	EC_number	COG	product
DEGACDFD_00001	rRNA	1540				16S ribosomal RNA
DEGACDFD_00002	tRNA	77				tRNA-Ile(gat)
DEGACDFD_00003	tRNA	76				tRNA-Ala(tgc)
DEGACDFD_00004	rRNA	2902				23S ribosomal RNA
DEGACDFD_00005	rRNA	116				5S ribosomal RNA
DEGACDFD_00006	tRNA	77				tRNA-Asp(gtc)
DEGACDFD_00007	tRNA	76				tRNA-Trp(cca)
DEGACDFD_00008	CDS	822	hdfR_1			HTH-type transcriptional regulator HdfR
DEGACDFD_00009	CDS	339	maoP		COG3085	Macrodomain Ori protein
DEGACDFD_00010	CDS	1521	comM		COG0606	Competence protein ComM
DEGACDFD_00011	CDS	1647	ilvG	2.2.1.6		Acetolactate synthase isozyme 2 large subunit
DEGACDFD_00012	CDS	258	ilvM	2.2.1.6	COG3978	Acetolactate synthase isozyme 2 small subunit
DEGACDFD_00013	CDS	930	ilvE	2.6.1.42		Branched-chain-amino-acid aminotransferase
DEGACDFD_00014	CDS	1851	ilvD	4.2.1.9	COG0129	Dihydroxy-acid dehydratase
DEGACDFD_00015	CDS	1545	ilvA	4.3.1.19	COG1171	L-threonine dehydratase biosynthetic IlvA
DEGACDFD_00016	CDS	957	oxyR_1		COG0583	DNA-binding transcriptional dual regulator OxyR
DEGACDFD_00017	CDS	1476	ilvC	1.1.1.86		Ketol-acid reductoisomerase (NADP(+))
DEGACDFD_00018	CDS	282	ppiC_1	5.2.1.8	COG0760	Peptidyl-prolyl cis-trans isomerase C
DEGACDFD_00019	CDS	282	ppiC_2	5.2.1.8	COG0760	Peptidyl-prolyl cis-trans isomerase C
DEGACDFD_00020	CDS	2022	rep_1	5.6.2.4	COG0210	ATP-dependent DNA helicase Rep
DEGACDFD_00021	CDS	723	ydfK_1		COG1811	putative membrane protein YdfK
DEGACDFD_00022	CDS	999	graF	4.1.1.103		Gamma-resorcylate decarboxylase
DEGACDFD_00023	CDS	927	pcpR_1		COG0583	PCP degradation transcriptional activation protein
DEGACDFD_00024	CDS	1509	gppA	3.6.1.40	COG0248	Guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase
DEGACDFD_00025	CDS	1266	rhlB	3.6.4.13	COG0513	ATP-dependent RNA helicase RhlB
DEGACDFD_00026	CDS	330	trxA		COG3118	Thioredoxin 1
DEGACDFD_00027	CDS	1260	rho	3.6.4.-	COG1158	Transcription termination factor Rho
DEGACDFD_00028	CDS	1104	wecA	2.7.8.33	COG0472	Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase
DEGACDFD_00029	CDS	1017	wzzE		COG3765	ECA polysaccharide chain length modulation protein
DEGACDFD_00030	CDS	1086	wecB	5.1.3.14	COG0381	UDP-N-acetylglucosamine 2-epimerase
DEGACDFD_00031	CDS	1263	wecC	1.1.1.336	COG0677	UDP-N-acetyl-D-mannosamine dehydrogenase
DEGACDFD_00032	CDS	1068	rffG	4.2.1.46	COG1088	dTDP-glucose 4,6-dehydratase 2
DEGACDFD_00033	CDS	882	rffH	2.7.7.24	COG1209	Glucose-1-phosphate thymidylyltransferase 2
DEGACDFD_00034	CDS	675	wecD	2.3.1.210	COG0456	dTDP-fucosamine acetyltransferase
DEGACDFD_00035	CDS	1131	wecE	2.6.1.59	COG0399	dTDP-4-amino-4,6-dideoxygalactose transaminase
DEGACDFD_00036	CDS	1251	wzxE		COG2244	Lipid III flippase
DEGACDFD_00037	CDS	1077	wecF	2.4.1.325	COG0554	TDP-N-acetylfucosamine:lipid II N-acetylfucosaminyltransferase
DEGACDFD_00038	CDS	1347	wzyE			putative ECA polymerase
DEGACDFD_00039	CDS	741	wecG	2.4.1.180	COG1922	UDP-N-acetyl-D-mannosaminuronic acid transferase
DEGACDFD_00040	CDS	1386	thrP		COG1113	Threonine/serine transporter ThrP
DEGACDFD_00041	tRNA	77				tRNA-Arg(ccg)
DEGACDFD_00042	tRNA	76				tRNA-His(gtg)
DEGACDFD_00043	tRNA	86				tRNA-Leu(cag)
DEGACDFD_00044	tRNA	77				tRNA-Pro(tgg)
DEGACDFD_00045	CDS	1197	hemY		COG3071	Protein HemY
DEGACDFD_00046	CDS	1182	hemX		COG2959	Protein HemX
DEGACDFD_00047	CDS	741	hemD	4.2.1.75		Uroporphyrinogen-III synthase
DEGACDFD_00048	CDS	957	hemC	2.5.1.61	COG0181	Porphobilinogen deaminase
DEGACDFD_00049	CDS	2631	cyaA			adenylate cyclase CyaA
DEGACDFD_00050	CDS	321	cyaY		COG1965	Iron-sulfur cluster assembly protein CyaY
DEGACDFD_00051	CDS	225	lptM		COG5567	LPS-assembly lipoprotein LptM
