locus_tag	ftype	length_bp	gene	EC_number	COG	product
BFKKNDMN_00001	rRNA	116				5S ribosomal RNA
BFKKNDMN_00002	rRNA	2902				23S ribosomal RNA
BFKKNDMN_00003	tRNA	76				tRNA-Glu(ttc)
BFKKNDMN_00004	rRNA	1540				16S ribosomal RNA
BFKKNDMN_00005	CDS	1122	roxA_1	1.14.11.47	COG2850	Ribosomal protein uL16 3-hydroxylase
BFKKNDMN_00006	CDS	534	tacT3	2.3.1.-		tRNA-acetylating toxin 3
BFKKNDMN_00007	CDS	267	tacA3			Antitoxin TacA3
BFKKNDMN_00008	CDS	1434	cusS	2.7.13.3	COG5002	Sensor histidine kinase CusS
BFKKNDMN_00009	CDS	684	cusR		COG0745	Transcriptional regulatory protein CusR
BFKKNDMN_00010	CDS	1386	cusC_1		COG1538	Cation efflux system protein CusC
BFKKNDMN_00011	CDS	348	cusF		COG5569	Cation efflux system protein CusF
BFKKNDMN_00012	CDS	1263	cusB		COG0845	Cation efflux system protein CusB
BFKKNDMN_00013	CDS	3150	silA			Cu(+)/Ag(+) efflux RND transporter permease subunit SilA
BFKKNDMN_00014	CDS	348				hypothetical protein
BFKKNDMN_00015	CDS	534	blc_1		COG3040	Outer membrane lipoprotein Blc
BFKKNDMN_00016	CDS	729	mlrA		COG0789	HTH-type transcriptional regulator MlrA
BFKKNDMN_00017	CDS	435				hypothetical protein
BFKKNDMN_00018	CDS	720				hypothetical protein
BFKKNDMN_00019	CDS	1260				hypothetical protein
BFKKNDMN_00020	CDS	723				hypothetical protein
BFKKNDMN_00021	CDS	1221	ufaA1	2.1.1.-	COG2230	Tuberculostearic acid methyltransferase UfaA1
BFKKNDMN_00022	CDS	486				hypothetical protein
BFKKNDMN_00023	CDS	525				hypothetical protein
BFKKNDMN_00024	CDS	558				hypothetical protein
BFKKNDMN_00025	CDS	960				hypothetical protein
BFKKNDMN_00026	CDS	1383	lamB_1			Maltoporin
BFKKNDMN_00027	CDS	1320	xylA_1	5.3.1.5	COG2115	Xylose isomerase
BFKKNDMN_00028	CDS	1455	uidB			Glucuronide carrier protein
BFKKNDMN_00029	CDS	1680	xynB	3.2.1.37		Beta-xylosidase
BFKKNDMN_00030	CDS	639				hypothetical protein
BFKKNDMN_00031	CDS	375				IS256 family transposase ISSod4
BFKKNDMN_00032	CDS	810				hypothetical protein
BFKKNDMN_00033	CDS	2223				hypothetical protein
BFKKNDMN_00034	CDS	348				IS3 family transposase ISYps8
BFKKNDMN_00035	CDS	387				IS3 family transposase ISYpe1
BFKKNDMN_00036	CDS	267				IS3 family transposase ISYpe1
BFKKNDMN_00037	CDS	114				hypothetical protein
BFKKNDMN_00038	CDS	1128				hypothetical protein
BFKKNDMN_00039	CDS	264				hypothetical protein
BFKKNDMN_00040	CDS	1149				hypothetical protein
BFKKNDMN_00041	CDS	267				hypothetical protein
BFKKNDMN_00042	CDS	459				hypothetical protein
BFKKNDMN_00043	CDS	717				hypothetical protein
BFKKNDMN_00044	CDS	510				IS3 family transposase IS1400
