qseqid	sseqid	qlen	slen	qstart	qend	sstart	send	length	mismatch	pident	qcovhsp	qcovs	sstrand	evalue	bitscore	biomarker
CP024497_00001|IncFIB	JBVQRT010000002.1 Klebsiella pneumoniae strain KK54 plasmid pKK54_1, whole genome shotgun sequence	1089	304449	1	1089	145956	147044	1090	77	92.752	100.0	100.0	minus	0.0	1574	replicon
JN420336|IncHI1B	JBVQRT010000002.1 Klebsiella pneumoniae strain KK54 plasmid pKK54_1, whole genome shotgun sequence	570	304449	1	570	248419	248988	570	0	100.0	100.0	100.0	plus	0.0	1053	replicon
000107__CP014778_00094|IncFIB	JBVQRT010000003.1 Klebsiella pneumoniae strain KK54 plasmid pKK54_2, whole genome shotgun sequence	1011	102917	1	1011	67842	68852	1011	98	90.307	100.0	100.0	minus	0.0	1325	replicon
000483__CP010949_00006|rep_cluster_1195	JBVQRT010000004.1 Klebsiella pneumoniae strain KK54 plasmid pKK54_3, whole genome shotgun sequence	948	11900	13	937	3133	4055	932	152	81.974	98.0	98.0	plus	0.0	776	replicon
000483__CP010949_00006|rep_cluster_1195	JBVQRT010000004.1 Klebsiella pneumoniae strain KK54 plasmid pKK54_3, whole genome shotgun sequence	948	11900	13	937	9274	10196	932	152	81.974	98.0	98.0	plus	0.0	776	replicon
NC_016980_00239|MOBH	JBVQRT010000002.1 Klebsiella pneumoniae strain KK54 plasmid pKK54_1, whole genome shotgun sequence	982	304449	1	982	83192	86137	982	0	100.0	100.0	100.0	plus	0.0	1949	relaxase
CP035180_00077|MOBF	JBVQRT010000003.1 Klebsiella pneumoniae strain KK54 plasmid pKK54_2, whole genome shotgun sequence	687	102917	1	251	22500	23255	252	18	92.46	37.0	100.0	plus	0.0	380	relaxase
NC_021231_00058|MOBF	JBVQRT010000003.1 Klebsiella pneumoniae strain KK54 plasmid pKK54_2, whole genome shotgun sequence	1753	102917	1	1753	23267	28522	1753	68	96.064	100.0	100.0	plus	0.0	3302	relaxase
NC_019160_00002|MOBP	JBVQRT010000004.1 Klebsiella pneumoniae strain KK54 plasmid pKK54_3, whole genome shotgun sequence	484	11900	326	484	3	479	159	1	99.371	33.0	100.0	plus	6.96e-92	303	relaxase
NC_019160_00002|MOBP	JBVQRT010000004.1 Klebsiella pneumoniae strain KK54 plasmid pKK54_3, whole genome shotgun sequence	484	11900	1	484	5169	6620	484	7	98.554	100.0	100.0	plus	0.0	946	relaxase
NC_018107_00101|MPF_F	JBVQRT010000002.1 Klebsiella pneumoniae strain KK54 plasmid pKK54_1, whole genome shotgun sequence	480	304449	1	480	76498	77937	480	18	96.25	100.0	100.0	minus	0.0	923	mate-pair-formation
NC_016980_00240|MPF_F	JBVQRT010000002.1 Klebsiella pneumoniae strain KK54 plasmid pKK54_1, whole genome shotgun sequence	708	304449	1	708	86130	88253	708	0	100.0	100.0	100.0	plus	0.0	1480	mate-pair-formation
NC_023911_00309|MPF_F	JBVQRT010000002.1 Klebsiella pneumoniae strain KK54 plasmid pKK54_1, whole genome shotgun sequence	286	304449	1	286	194300	195157	286	22	92.308	100.0	100.0	plus	3.74e-175	534	mate-pair-formation
NC_018107_00235|MPF_F	JBVQRT010000002.1 Klebsiella pneumoniae strain KK54 plasmid pKK54_1, whole genome shotgun sequence	389	304449	1	389	195162	196328	389	27	93.059	100.0	100.0	plus	0.0	707	mate-pair-formation
NC_016980_00099|MPF_T	JBVQRT010000002.1 Klebsiella pneumoniae strain KK54 plasmid pKK54_1, whole genome shotgun sequence	905	304449	1	905	200289	203003	905	0	100.0	100.0	100.0	plus	0.0	1846	mate-pair-formation
NC_016980_00109|MPF_F	JBVQRT010000002.1 Klebsiella pneumoniae strain KK54 plasmid pKK54_1, whole genome shotgun sequence	453	304449	1	453	213705	215063	453	0	100.0	100.0	100.0	plus	0.0	939	mate-pair-formation
NC_016980_00110|MPF_F	JBVQRT010000002.1 Klebsiella pneumoniae strain KK54 plasmid pKK54_1, whole genome shotgun sequence	345	304449	1	345	215063	216097	345	0	100.0	100.0	100.0	plus	0.0	718	mate-pair-formation
NC_021654_00004|MPF_F	JBVQRT010000003.1 Klebsiella pneumoniae strain KK54 plasmid pKK54_2, whole genome shotgun sequence	189	102917	1	189	868	1434	189	0	100.0	100.0	100.0	plus	2.06e-125	386	mate-pair-formation
NC_021502_00131|MPF_T	JBVQRT010000003.1 Klebsiella pneumoniae strain KK54 plasmid pKK54_2, whole genome shotgun sequence	879	102917	1	879	4071	6707	879	33	96.246	100.0	100.0	plus	0.0	1758	mate-pair-formation
NC_014312_00128|MPF_F	JBVQRT010000003.1 Klebsiella pneumoniae strain KK54 plasmid pKK54_2, whole genome shotgun sequence	211	102917	1	206	7088	7705	206	3	98.544	98.0	98.0	plus	7.739999999999999e-126	389	mate-pair-formation
NC_022609_00081|MPF_F	JBVQRT010000003.1 Klebsiella pneumoniae strain KK54 plasmid pKK54_2, whole genome shotgun sequence	330	102917	1	330	7725	8714	330	14	95.758	100.0	100.0	plus	0.0	666	mate-pair-formation
NC_019389_00080|MPF_F	JBVQRT010000003.1 Klebsiella pneumoniae strain KK54 plasmid pKK54_2, whole genome shotgun sequence	212	102917	1	212	8730	9365	212	7	96.698	100.0	100.0	plus	2.5499999999999998e-138	424	mate-pair-formation
NC_021654_00016|MPF_F	JBVQRT010000003.1 Klebsiella pneumoniae strain KK54 plasmid pKK54_2, whole genome shotgun sequence	668	102917	1	668	9365	11368	668	5	99.251	100.0	100.0	plus	0.0	1280	mate-pair-formation
NC_019165_00034|MPF_F	JBVQRT010000003.1 Klebsiella pneumoniae strain KK54 plasmid pKK54_2, whole genome shotgun sequence	456	102917	5	456	14262	15617	452	9	98.009	99.0	99.0	plus	0.0	817	mate-pair-formation
NC_023905_00125|MPF_F	JBVQRT010000003.1 Klebsiella pneumoniae strain KK54 plasmid pKK54_2, whole genome shotgun sequence	949	102917	1	949	15620	18466	949	3	99.684	100.0	100.0	plus	0.0	1769	mate-pair-formation
NC_021502_00150|MPF_T	JBVQRT010000003.1 Klebsiella pneumoniae strain KK54 plasmid pKK54_2, whole genome shotgun sequence	770	102917	1	770	20955	23264	770	7	99.091	100.0	100.0	plus	0.0	1447	mate-pair-formation
NC_014312_00116|MPF_F	JBVQRT010000003.1 Klebsiella pneumoniae strain KK54 plasmid pKK54_2, whole genome shotgun sequence	101	102917	1	101	100131	100433	101	0	100.0	100.0	100.0	plus	3.32e-64	207	mate-pair-formation
NC_014312_00118|MPF_F	JBVQRT010000003.1 Klebsiella pneumoniae strain KK54 plasmid pKK54_2, whole genome shotgun sequence	246	102917	1	246	101009	101746	246	2	99.187	100.0	100.0	plus	3.63e-162	494	mate-pair-formation
