qseqid	sseqid	qlen	slen	qstart	qend	sstart	send	length	mismatch	pident	qcovhsp	qcovs	sstrand	evalue	bitscore	biomarker
NZ_CP016035|MOBF	JBVQRS010000004.1 Klebsiella pneumoniae strain KK55 plasmid pKK55_3, whole genome shotgun sequence	268	85706	11	268	9766	10024	264	38	81.439	96.0	96.0	plus	1.35e-53	206	oriT
000128__CP023916|IncFII	JBVQRS010000002.1 Klebsiella pneumoniae strain KK55 plasmid pKK55_1, whole genome shotgun sequence	234	151189	1	234	48850	49083	234	0	100.0	100.0	100.0	minus	4.89e-122	433	replicon
CP017721_00179|rep_cluster_2183	JBVQRS010000002.1 Klebsiella pneumoniae strain KK55 plasmid pKK55_1, whole genome shotgun sequence	864	151189	37	864	49118	49945	830	144	82.169	96.0	96.0	plus	0.0	710	replicon
000107__CP014778_00094|IncFIB	JBVQRS010000002.1 Klebsiella pneumoniae strain KK55 plasmid pKK55_1, whole genome shotgun sequence	1011	151189	1	1011	84120	85130	1011	98	90.307	100.0	100.0	plus	0.0	1325	replicon
JN420336|IncHI1B	JBVQRS010000003.1 Klebsiella pneumoniae strain KK55 plasmid pKK55_2, whole genome shotgun sequence	570	254558	1	570	31240	31809	570	0	100.0	100.0	100.0	minus	0.0	1053	replicon
CP024497_00001|IncFIB	JBVQRS010000003.1 Klebsiella pneumoniae strain KK55 plasmid pKK55_2, whole genome shotgun sequence	1089	254558	1	1089	134398	135486	1090	77	92.752	100.0	100.0	plus	0.0	1574	replicon
AF250878|IncFIA	JBVQRS010000004.1 Klebsiella pneumoniae strain KK55 plasmid pKK55_3, whole genome shotgun sequence	388	85706	2	388	7696	8082	387	6	98.45	99.0	99.0	minus	0.0	682	replicon
000562__KT346360_00001|rep_cluster_1254	JBVQRS010000004.1 Klebsiella pneumoniae strain KK55 plasmid pKK55_3, whole genome shotgun sequence	930	85706	176	930	27423	28177	755	72	90.464	81.0	81.0	minus	0.0	996	replicon
000204__CP008701_00115|IncR	JBVQRS010000004.1 Klebsiella pneumoniae strain KK55 plasmid pKK55_3, whole genome shotgun sequence	894	85706	1	894	64465	65360	896	3	99.442	100.0	100.0	plus	0.0	1626	replicon
JN626286|IncL/M	JBVQRS010000005.1 Klebsiella pneumoniae strain KK55 plasmid pKK55_4, whole genome shotgun sequence	661	64789	1	661	16075	16735	661	0	100.0	100.0	100.0	plus	0.0	1221	replicon
CP035180_00077|MOBF	JBVQRS010000002.1 Klebsiella pneumoniae strain KK55 plasmid pKK55_1, whole genome shotgun sequence	687	151189	1	251	17048	17803	252	18	92.46	37.0	100.0	plus	0.0	380	relaxase
NC_021231_00058|MOBF	JBVQRS010000002.1 Klebsiella pneumoniae strain KK55 plasmid pKK55_1, whole genome shotgun sequence	1753	151189	1	1753	17815	23070	1753	68	96.064	100.0	100.0	plus	0.0	3302	relaxase
NC_016980_00239|MOBH	JBVQRS010000003.1 Klebsiella pneumoniae strain KK55 plasmid pKK55_2, whole genome shotgun sequence	982	254558	1	982	188121	191066	982	0	100.0	100.0	100.0	minus	0.0	1949	relaxase
NC_004464_00056|MOBP	JBVQRS010000005.1 Klebsiella pneumoniae strain KK55 plasmid pKK55_4, whole genome shotgun sequence	659	64789	1	659	57215	59191	659	2	99.697	100.0	100.0	plus	0.0	1378	relaxase
NC_010726_00014|MPF_T	CM146768.1 Klebsiella pneumoniae strain KK55 chromosome, complete sequence, whole genome shotgun sequence	301	5440510	1	301	1540749	1541651	301	3	99.003	100.0	100.0	minus	0.0	617	mate-pair-formation
NC_005814_00013|MPF_T	CM146768.1 Klebsiella pneumoniae strain KK55 chromosome, complete sequence, whole genome shotgun sequence	227	5440510	1	227	1541654	1542334	227	3	98.678	100.0	100.0	minus	1.88e-132	409	mate-pair-formation
NC_010726_00011|MPF_T	CM146768.1 Klebsiella pneumoniae strain KK55 chromosome, complete sequence, whole genome shotgun sequence	358	5440510	5	358	1542559	1543620	354	45	87.288	99.0	99.0	minus	2.76e-175	538	mate-pair-formation
NC_013284_00016|MPF_T	CM146768.1 Klebsiella pneumoniae strain KK55 chromosome, complete sequence, whole genome shotgun sequence	914	5440510	1	914	1544611	1547346	914	81	90.919	100.0	100.0	minus	0.0	1726	mate-pair-formation
NC_022609_00081|MPF_F	JBVQRS010000002.1 Klebsiella pneumoniae strain KK55 plasmid pKK55_1, whole genome shotgun sequence	330	151189	83	330	2519	3262	248	11	95.565	75.0	100.0	plus	3.93e-164	504	mate-pair-formation
NC_019389_00080|MPF_F	JBVQRS010000002.1 Klebsiella pneumoniae strain KK55 plasmid pKK55_1, whole genome shotgun sequence	212	151189	1	212	3278	3913	212	7	96.698	100.0	100.0	plus	2.6699999999999998e-138	424	mate-pair-formation
NC_021654_00016|MPF_F	JBVQRS010000002.1 Klebsiella pneumoniae strain KK55 plasmid pKK55_1, whole genome shotgun sequence	668	151189	1	668	3913	5916	668	5	99.251	100.0	100.0	plus	0.0	1280	mate-pair-formation
NC_019165_00034|MPF_F	JBVQRS010000002.1 Klebsiella pneumoniae strain KK55 plasmid pKK55_1, whole genome shotgun sequence	456	151189	5	456	8810	10165	452	9	98.009	99.0	99.0	plus	0.0	817	mate-pair-formation
NC_023905_00125|MPF_F	JBVQRS010000002.1 Klebsiella pneumoniae strain KK55 plasmid pKK55_1, whole genome shotgun sequence	949	151189	1	949	10168	13014	949	3	99.684	100.0	100.0	plus	0.0	1769	mate-pair-formation
NC_021502_00150|MPF_T	JBVQRS010000002.1 Klebsiella pneumoniae strain KK55 plasmid pKK55_1, whole genome shotgun sequence	770	151189	1	770	15503	17812	770	7	99.091	100.0	100.0	plus	0.0	1447	mate-pair-formation
