locus_tag	ftype	length_bp	gene	EC_number	COG	product
AONLONOO_00001	rRNA	1540				16S ribosomal RNA
AONLONOO_00002	tRNA	76				tRNA-Glu(ttc)
AONLONOO_00003	rRNA	2902				23S ribosomal RNA
AONLONOO_00004	rRNA	116				5S ribosomal RNA
AONLONOO_00005	CDS	1299	kgtP_1		COG0477	Alpha-ketoglutarate permease
AONLONOO_00006	CDS	324				hypothetical protein
AONLONOO_00007	CDS	1356	pssA	2.7.8.8	COG1502	CDP-diacylglycerol--serine O-phosphatidyltransferase PssA
AONLONOO_00008	CDS	2652	pat_1	2.3.1.-		Peptidyl-lysine N-acetyltransferase Pat
AONLONOO_00009	CDS	699	tapT	2.5.1.25	COG3148	tRNA-uridine aminocarboxypropyltransferase
AONLONOO_00010	CDS	426	trxC	1.8.1.8	COG3118	Thioredoxin 2
AONLONOO_00011	CDS	1086	yfiF	2.1.1.-	COG0566	putative tRNA/rRNA methyltransferase YfiF
AONLONOO_00012	CDS	690	ung	3.2.2.27	COG0692	Uracil-DNA glycosylase
AONLONOO_00013	CDS	384	grcA		COG3445	Autonomous glycyl radical cofactor
AONLONOO_00014	CDS	1332	srmB	3.6.4.13	COG0513	ATP-dependent RNA helicase SrmB
AONLONOO_00015	CDS	738	yfiC	2.1.1.223	COG4123	tRNA1(Val) (adenine(37)-N6)-methyltransferase
AONLONOO_00016	CDS	1620	nadB	1.4.3.16	COG0029	L-aspartate oxidase
AONLONOO_00017	CDS	576	rpoE			ECF RNA polymerase sigma-E factor
AONLONOO_00018	CDS	651	rseA		COG3073	Anti-sigma-E factor RseA
AONLONOO_00019	CDS	957	rseB		COG3026	Sigma-E factor regulatory protein RseB
AONLONOO_00020	CDS	480	rseC		COG3086	Protein RseC
AONLONOO_00021	CDS	1230				hypothetical protein
AONLONOO_00022	CDS	276				hypothetical protein
AONLONOO_00023	CDS	309				hypothetical protein
AONLONOO_00024	CDS	612				hypothetical protein
AONLONOO_00025	CDS	339				hypothetical protein
AONLONOO_00026	CDS	1110				hypothetical protein
AONLONOO_00027	CDS	3111				hypothetical protein
AONLONOO_00028	CDS	156				hypothetical protein
