locus_tag	ftype	length_bp	gene	EC_number	COG	product
AEDCGGIJ_00001	rRNA	1540				16S ribosomal RNA
AEDCGGIJ_00002	tRNA	77				tRNA-Ile(gat)
AEDCGGIJ_00003	tRNA	76				tRNA-Ala(tgc)
AEDCGGIJ_00004	rRNA	2902				23S ribosomal RNA
AEDCGGIJ_00005	rRNA	116				5S ribosomal RNA
AEDCGGIJ_00006	tRNA	77				tRNA-Asp(gtc)
AEDCGGIJ_00007	tRNA	76				tRNA-Trp(cca)
AEDCGGIJ_00008	CDS	822	hdfR_1			HTH-type transcriptional regulator HdfR
AEDCGGIJ_00009	CDS	339	maoP		COG3085	Macrodomain Ori protein
AEDCGGIJ_00010	CDS	1521	comM		COG0606	Competence protein ComM
AEDCGGIJ_00011	CDS	1647	ilvG	2.2.1.6		Acetolactate synthase isozyme 2 large subunit
AEDCGGIJ_00012	CDS	258	ilvM	2.2.1.6	COG3978	Acetolactate synthase isozyme 2 small subunit
AEDCGGIJ_00013	CDS	930	ilvE	2.6.1.42		Branched-chain-amino-acid aminotransferase
AEDCGGIJ_00014	CDS	1851	ilvD	4.2.1.9	COG0129	Dihydroxy-acid dehydratase
AEDCGGIJ_00015	CDS	1545	ilvA	4.3.1.19	COG1171	L-threonine dehydratase biosynthetic IlvA
AEDCGGIJ_00016	CDS	957	oxyR_1		COG0583	DNA-binding transcriptional dual regulator OxyR
AEDCGGIJ_00017	CDS	1476	ilvC	1.1.1.86		Ketol-acid reductoisomerase (NADP(+))
AEDCGGIJ_00018	CDS	282	ppiC_1	5.2.1.8	COG0760	Peptidyl-prolyl cis-trans isomerase C
AEDCGGIJ_00019	CDS	282	ppiC_2	5.2.1.8	COG0760	Peptidyl-prolyl cis-trans isomerase C
AEDCGGIJ_00020	CDS	2022	rep	5.6.2.4	COG0210	ATP-dependent DNA helicase Rep
AEDCGGIJ_00021	CDS	723	ydfK_1		COG1811	putative membrane protein YdfK
AEDCGGIJ_00022	CDS	999	graF	4.1.1.103		Gamma-resorcylate decarboxylase
AEDCGGIJ_00023	CDS	927	pcpR_1		COG0583	PCP degradation transcriptional activation protein
AEDCGGIJ_00024	CDS	1509	gppA	3.6.1.40	COG0248	Guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase
AEDCGGIJ_00025	CDS	1266	rhlB	3.6.4.13	COG0513	ATP-dependent RNA helicase RhlB
AEDCGGIJ_00026	CDS	330	trxA		COG3118	Thioredoxin 1
AEDCGGIJ_00027	CDS	1260	rho	3.6.4.-	COG1158	Transcription termination factor Rho
AEDCGGIJ_00028	CDS	1104	wecA	2.7.8.33	COG0472	Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase
AEDCGGIJ_00029	CDS	1017	wzzE		COG3765	ECA polysaccharide chain length modulation protein
AEDCGGIJ_00030	CDS	1086	wecB	5.1.3.14	COG0381	UDP-N-acetylglucosamine 2-epimerase
AEDCGGIJ_00031	CDS	1263	wecC	1.1.1.336	COG0677	UDP-N-acetyl-D-mannosamine dehydrogenase
AEDCGGIJ_00032	CDS	1068	rffG_1	4.2.1.46	COG1088	dTDP-glucose 4,6-dehydratase 2
AEDCGGIJ_00033	CDS	882	rffH_1	2.7.7.24	COG1209	Glucose-1-phosphate thymidylyltransferase 2
AEDCGGIJ_00034	CDS	675	wecD	2.3.1.210	COG0456	dTDP-fucosamine acetyltransferase
AEDCGGIJ_00035	CDS	1131	wecE	2.6.1.59	COG0399	dTDP-4-amino-4,6-dideoxygalactose transaminase
AEDCGGIJ_00036	CDS	1251	wzxE		COG2244	Lipid III flippase
AEDCGGIJ_00037	CDS	1077	wecF	2.4.1.325	COG0554	TDP-N-acetylfucosamine:lipid II N-acetylfucosaminyltransferase
AEDCGGIJ_00038	CDS	1347	wzyE			putative ECA polymerase
AEDCGGIJ_00039	CDS	741	wecG	2.4.1.180	COG1922	UDP-N-acetyl-D-mannosaminuronic acid transferase
AEDCGGIJ_00040	CDS	1386	thrP		COG1113	Threonine/serine transporter ThrP
AEDCGGIJ_00041	tRNA	77				tRNA-Arg(ccg)
AEDCGGIJ_00042	tRNA	76				tRNA-His(gtg)
AEDCGGIJ_00043	tRNA	86				tRNA-Leu(cag)
AEDCGGIJ_00044	tRNA	77				tRNA-Pro(tgg)
AEDCGGIJ_00045	CDS	1197	hemY		COG3071	Protein HemY
AEDCGGIJ_00046	CDS	1182	hemX		COG2959	Protein HemX
AEDCGGIJ_00047	CDS	741	hemD	4.2.1.75		Uroporphyrinogen-III synthase
AEDCGGIJ_00048	CDS	957	hemC	2.5.1.61	COG0181	Porphobilinogen deaminase
AEDCGGIJ_00049	CDS	2631	cyaA			adenylate cyclase CyaA
AEDCGGIJ_00050	CDS	321	cyaY		COG1965	Iron-sulfur cluster assembly protein CyaY
AEDCGGIJ_00051	CDS	225	lptM		COG5567	LPS-assembly lipoprotein LptM
AEDCGGIJ_00052	CDS	825	dapF	5.1.1.7	COG0253	Diaminopimelate epimerase
AEDCGGIJ_00053	CDS	708				hypothetical protein
AEDCGGIJ_00054	CDS	903	xerC_1		COG4973	Tyrosine recombinase XerC
AEDCGGIJ_00055	CDS	717	yigB	3.1.3.104	COG1011	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YigB
AEDCGGIJ_00056	CDS	2163	uvrD	5.6.2.4	COG0210	DNA helicase II
AEDCGGIJ_00057	CDS	951	corA			Magnesium transport protein CorA
AEDCGGIJ_00058	CDS	894	rarD		COG2962	Protein RarD
AEDCGGIJ_00059	CDS	465	yigI	3.1.2.20	COG2050	Medium/long-chain acyl-CoA thioesterase YigI
AEDCGGIJ_00060	CDS	861	pldA	3.1.1.32	COG2829	Phospholipase A1
AEDCGGIJ_00061	CDS	1827	recQ	5.6.2.4	COG0514	ATP-dependent DNA helicase RecQ
AEDCGGIJ_00062	CDS	621	rhtC_1		COG1280	Threonine efflux protein
AEDCGGIJ_00063	CDS	921				ISNCY family transposase ISRor2
AEDCGGIJ_00064	CDS	621	rhtB_1		COG1280	Homoserine/homoserine lactone efflux protein
AEDCGGIJ_00065	CDS	993	pldB	3.1.1.5	COG2267	Lysophospholipase L2
AEDCGGIJ_00066	CDS	801	yigL	3.1.3.74	COG0561	Pyridoxal phosphate phosphatase YigL
AEDCGGIJ_00067	CDS	900	bioP		COG0697	Biotin transporter
AEDCGGIJ_00068	CDS	954	metR		COG0583	HTH-type transcriptional regulator MetR
AEDCGGIJ_00069	CDS	2265	metE	2.1.1.14	COG0620	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase
AEDCGGIJ_00070	CDS	813	clcD	3.1.1.45	COG0412	Carboxymethylenebutenolidase
AEDCGGIJ_00071	CDS	762	udp	2.4.2.3		Uridine phosphorylase
AEDCGGIJ_00072	CDS	1449				hypothetical protein
AEDCGGIJ_00073	CDS	756	ubiE	2.1.1.163	COG2226	Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE
AEDCGGIJ_00074	CDS	606	ubiJ		COG3165	Ubiquinone biosynthesis accessory factor UbiJ
AEDCGGIJ_00075	CDS	1641	ubiB	2.7.-.-	COG0661	putative protein kinase UbiB
AEDCGGIJ_00076	CDS	252	tatA		COG1826	Sec-independent protein translocase protein TatA
