locus_tag	ftype	length_bp	gene	EC_number	COG	product
JBBCKIFO_00001	CDS	1263				IS1380 family transposase ISEcp1
JBBCKIFO_00002	CDS	123				hypothetical protein
JBBCKIFO_00003	CDS	876	bla_1	3.5.2.6		Beta-lactamase CTX-M-15
JBBCKIFO_00004	CDS	321				hypothetical protein
JBBCKIFO_00005	CDS	1614				Tn3 family transposase Tn2
JBBCKIFO_00006	CDS	273				hypothetical protein
JBBCKIFO_00007	CDS	768	rluA_1	5.4.99.28	COG0564	Dual-specificity RNA pseudouridine synthase RluA
JBBCKIFO_00008	CDS	540				hypothetical protein
JBBCKIFO_00009	CDS	330				hypothetical protein
JBBCKIFO_00010	CDS	1341	tssK1_1			Type VI secretion system baseplate component TssK1
JBBCKIFO_00011	CDS	654				hypothetical protein
JBBCKIFO_00012	CDS	1698	pal_1			Peptidoglycan-associated lipoprotein
JBBCKIFO_00013	CDS	2457	vgrG2b_1	3.4.24.-		Type VI secretion system spike protein VgrG2b
JBBCKIFO_00014	CDS	504			COG1662	IS1 family transposase IS1R
JBBCKIFO_00015	CDS	258				hypothetical protein
JBBCKIFO_00016	CDS	264				hypothetical protein
JBBCKIFO_00017	CDS	264				hypothetical protein
JBBCKIFO_00018	CDS	327				hypothetical protein
JBBCKIFO_00019	CDS	267				hypothetical protein
JBBCKIFO_00020	CDS	975				hypothetical protein
JBBCKIFO_00021	CDS	207				hypothetical protein
JBBCKIFO_00022	CDS	3411				hypothetical protein
JBBCKIFO_00023	CDS	1764	tssF1_1			Type VI secretion system component TssF1
JBBCKIFO_00024	CDS	1047				hypothetical protein
JBBCKIFO_00025	CDS	537				hypothetical protein
JBBCKIFO_00026	CDS	444				hypothetical protein
JBBCKIFO_00027	CDS	1416				hypothetical protein
JBBCKIFO_00028	CDS	915	thpA		COG1879	D-threitol-binding protein
JBBCKIFO_00029	CDS	330				hypothetical protein
JBBCKIFO_00030	CDS	1092	ychF		COG0012	Ribosome-binding ATPase YchF
JBBCKIFO_00031	CDS	585	pth	3.1.1.29		Peptidyl-tRNA hydrolase
JBBCKIFO_00032	CDS	276				hypothetical protein
JBBCKIFO_00033	CDS	1047				hypothetical protein
JBBCKIFO_00034	CDS	1653	dauA_1		COG0659	C4-dicarboxylic acid transporter DauA
JBBCKIFO_00035	CDS	948	prs	2.7.6.1		Ribose-phosphate pyrophosphokinase
JBBCKIFO_00036	CDS	852	ispE	2.7.1.148		4-diphosphocytidyl-2-C-methyl-D-erythritol kinase
JBBCKIFO_00037	CDS	612	lolB		COG3017	Outer-membrane lipoprotein LolB
JBBCKIFO_00038	CDS	1257	hemA	1.2.1.70	COG0373	Glutamyl-tRNA reductase
JBBCKIFO_00039	CDS	1083	prfA		COG0216	Peptide chain release factor RF1
JBBCKIFO_00040	CDS	849	prmC	2.1.1.297	COG2890	Release factor glutamine methyltransferase
JBBCKIFO_00041	CDS	393	ychQ		COG3094	Protein YchQ
JBBCKIFO_00042	CDS	813				hypothetical protein
JBBCKIFO_00043	CDS	855	kdsA	2.5.1.55	COG2877	2-dehydro-3-deoxyphosphooctonate aldolase
JBBCKIFO_00044	CDS	1101	chaA		COG0387	Sodium-potassium/proton antiporter ChaA
JBBCKIFO_00045	CDS	231	chaB		COG4572	Putative cation transport regulator ChaB
JBBCKIFO_00046	CDS	681	chaC	4.3.2.7	COG3703	Glutathione-specific gamma-glutamylcyclotransferase
JBBCKIFO_00047	CDS	243				hypothetical protein
JBBCKIFO_00048	CDS	354	ychN		COG1553	Protein YchN
JBBCKIFO_00049	CDS	1182	nasR		COG3707	Nitrate regulatory protein
JBBCKIFO_00050	CDS	1257	nrtA		COG0715	Nitrate/nitrite binding protein NrtA
JBBCKIFO_00051	CDS	885	cmpB		COG0600	Bicarbonate transport system permease protein CmpB
JBBCKIFO_00052	CDS	789	nrtD	7.3.2.4	COG1116	Nitrate import ATP-binding protein NrtD
JBBCKIFO_00053	CDS	4068	norW_1	1.18.1.-		Nitric oxide reductase FlRd-NAD(+) reductase
JBBCKIFO_00054	CDS	2601	nasA	1.7.-.-	COG0243	Nitrate reductase
JBBCKIFO_00055	CDS	1383				Invasin
JBBCKIFO_00056	CDS	651	narL		COG2197	Nitrate/nitrite response regulator protein NarL
JBBCKIFO_00057	CDS	1779	narX	2.7.13.3	COG3850	Nitrate/nitrite sensor protein NarX
JBBCKIFO_00058	CDS	1389	narK		COG2223	Nitrate/nitrite antiporter NarK
JBBCKIFO_00059	CDS	3744	narG	1.7.5.1	COG5013	Respiratory nitrate reductase 1 alpha chain
JBBCKIFO_00060	CDS	1536	narH	1.7.5.1	COG1140	Respiratory nitrate reductase 1 beta chain
JBBCKIFO_00061	CDS	711	narJ		COG2180	Nitrate reductase molybdenum cofactor assembly chaperone NarJ
JBBCKIFO_00062	CDS	678	narI	1.7.5.1	COG2181	Respiratory nitrate reductase 1 gamma chain
JBBCKIFO_00063	CDS	897				hypothetical protein
JBBCKIFO_00064	CDS	444	lrpA		COG1522	HTH-type transcriptional regulator LrpA
JBBCKIFO_00065	tRNA	85				tRNA-Tyr(gta)
