qseqid	sseqid	qlen	slen	qstart	qend	sstart	send	length	mismatch	pident	qcovhsp	qcovs	sstrand	evalue	bitscore	biomarker
JN626286|IncL/M	JBRYHI010000001.1 Klebsiella pneumoniae strain KP3 plasmid pKP3_p1, whole genome shotgun sequence	661	64753	1	661	50462	51122	661	0	100.0	100.0	100.0	minus	0.0	1221	replicon
000107__CP014778_00094|IncFIB	JBRYHI010000002.1 Klebsiella pneumoniae strain KP3 plasmid pKP3_p2, whole genome shotgun sequence	1011	161620	1	1011	84257	85267	1011	94	90.702	100.0	100.0	minus	0.0	1347	replicon
000124__KP125893_00142|IncFII	JBRYHI010000002.1 Klebsiella pneumoniae strain KP3 plasmid pKP3_p2, whole genome shotgun sequence	207	161620	1	207	150732	150938	207	1	99.517	100.0	100.0	plus	1.97e-105	377	replicon
000212__CP012556_00176|IncU	JBRYHI010000003.1 Klebsiella pneumoniae strain KP3 plasmid pKP3_p3, whole genome shotgun sequence	1098	247002	1	1098	187743	188840	1098	25	97.723	100.0	100.0	minus	0.0	1890	replicon
NC_004464_00056|MOBP	JBRYHI010000001.1 Klebsiella pneumoniae strain KP3 plasmid pKP3_p1, whole genome shotgun sequence	659	64753	1	659	9816	11792	659	2	99.697	100.0	100.0	minus	0.0	1378	relaxase
CP035180_00077|MOBF	JBRYHI010000002.1 Klebsiella pneumoniae strain KP3 plasmid pKP3_p2, whole genome shotgun sequence	687	161620	1	251	139542	140297	252	18	92.46	37.0	99.0	plus	0.0	380	relaxase
NC_021231_00058|MOBF	JBRYHI010000002.1 Klebsiella pneumoniae strain KP3 plasmid pKP3_p2, whole genome shotgun sequence	1753	161620	1	1753	140309	145564	1753	84	95.151	100.0	100.0	plus	0.0	3266	relaxase
NC_018107_00109|MOBH	JBRYHI010000003.1 Klebsiella pneumoniae strain KP3 plasmid pKP3_p3, whole genome shotgun sequence	978	247002	1	978	135324	138275	984	2	99.187	100.0	100.0	plus	0.0	1818	relaxase
NC_004464_00066|MPF_I	JBRYHI010000001.1 Klebsiella pneumoniae strain KP3 plasmid pKP3_p1, whole genome shotgun sequence	383	64753	1	383	626	1774	383	1	99.739	100.0	100.0	minus	0.0	648	mate-pair-formation
NC_019344_00078|MPF_I	JBRYHI010000001.1 Klebsiella pneumoniae strain KP3 plasmid pKP3_p1, whole genome shotgun sequence	237	64753	1	237	1786	2496	237	2	99.156	100.0	100.0	minus	1.6200000000000003e-132	409	mate-pair-formation
NC_019063_00094|MPF_I	JBRYHI010000001.1 Klebsiella pneumoniae strain KP3 plasmid pKP3_p1, whole genome shotgun sequence	170	64753	1	170	3162	3671	170	1	99.412	100.0	100.0	minus	1.39e-111	346	mate-pair-formation
NC_005246_00057|MPF_I	JBRYHI010000001.1 Klebsiella pneumoniae strain KP3 plasmid pKP3_p1, whole genome shotgun sequence	259	64753	15	259	8526	9260	245	1	99.592	95.0	95.0	minus	1.6099999999999998e-165	505	mate-pair-formation
