sample_id	molecule_type	primary_cluster_id	secondary_cluster_id	contig_id	size	gc	md5	mge_id	mge_acs	mge_type	mge_subtype	mge_length	mge_start	mge_end	contig_start	contig_end	length	sstrand	qcovhsp	pident	evalue	bitscore
GCA_055721525.1_ASM5572152v1_genomic.fna	chromosome			CM146767.1 Klebsiella pneumoniae strain KK66 chromosome, complete sequence, whole genome shotgun sequence	5368493	0.5743307985414142	ce9cae813a4be469586f173e9a26b332	01320	CP016763	ISCfr12	ISL3	1316	1	1316	159171	160486						
GCA_055721525.1_ASM5572152v1_genomic.fna	chromosome			CM146767.1 Klebsiella pneumoniae strain KK66 chromosome, complete sequence, whole genome shotgun sequence	5368493	0.5743307985414142	ce9cae813a4be469586f173e9a26b332	01400	CP016586.1	23s-rRNA	23S	3027	660	3027	833712	836079						
GCA_055721525.1_ASM5572152v1_genomic.fna	chromosome			CM146767.1 Klebsiella pneumoniae strain KK66 chromosome, complete sequence, whole genome shotgun sequence	5368493	0.5743307985414142	ce9cae813a4be469586f173e9a26b332	01399	CP016586.1	16s-rRNA	16S	1554	1	1554	836967	838518						
GCA_055721525.1_ASM5572152v1_genomic.fna	chromosome			CM146767.1 Klebsiella pneumoniae strain KK66 chromosome, complete sequence, whole genome shotgun sequence	5368493	0.5743307985414142	ce9cae813a4be469586f173e9a26b332	01400	CP016586.1	23s-rRNA	23S	3027	660	3027	1578901	1581268						
GCA_055721525.1_ASM5572152v1_genomic.fna	chromosome			CM146767.1 Klebsiella pneumoniae strain KK66 chromosome, complete sequence, whole genome shotgun sequence	5368493	0.5743307985414142	ce9cae813a4be469586f173e9a26b332	01399	CP016586.1	16s-rRNA	16S	1554	1	1554	1582011	1583562						
GCA_055721525.1_ASM5572152v1_genomic.fna	chromosome			CM146767.1 Klebsiella pneumoniae strain KK66 chromosome, complete sequence, whole genome shotgun sequence	5368493	0.5743307985414142	ce9cae813a4be469586f173e9a26b332	01399	CP016586.1	16s-rRNA	16S	1554	1	1554	2090051	2091602						
GCA_055721525.1_ASM5572152v1_genomic.fna	chromosome			CM146767.1 Klebsiella pneumoniae strain KK66 chromosome, complete sequence, whole genome shotgun sequence	5368493	0.5743307985414142	ce9cae813a4be469586f173e9a26b332	01400	CP016586.1	23s-rRNA	23S	3027	660	3027	2092482	2094849						
GCA_055721525.1_ASM5572152v1_genomic.fna	chromosome			CM146767.1 Klebsiella pneumoniae strain KK66 chromosome, complete sequence, whole genome shotgun sequence	5368493	0.5743307985414142	ce9cae813a4be469586f173e9a26b332	01399	CP016586.1	16s-rRNA	16S	1554	1	1554	2188451	2190002						
GCA_055721525.1_ASM5572152v1_genomic.fna	chromosome			CM146767.1 Klebsiella pneumoniae strain KK66 chromosome, complete sequence, whole genome shotgun sequence	5368493	0.5743307985414142	ce9cae813a4be469586f173e9a26b332	01400	CP016586.1	23s-rRNA	23S	3027	660	3027	2190965	2193332						
GCA_055721525.1_ASM5572152v1_genomic.fna	chromosome			CM146767.1 Klebsiella pneumoniae strain KK66 chromosome, complete sequence, whole genome shotgun sequence	5368493	0.5743307985414142	ce9cae813a4be469586f173e9a26b332	01399	CP016586.1	16s-rRNA	16S	1554	1	1554	2286734	2288285						
GCA_055721525.1_ASM5572152v1_genomic.fna	chromosome			CM146767.1 Klebsiella pneumoniae strain KK66 chromosome, complete sequence, whole genome shotgun sequence	5368493	0.5743307985414142	ce9cae813a4be469586f173e9a26b332	01400	CP016586.1	23s-rRNA	23S	3027	660	3027	2289321	2291688						
GCA_055721525.1_ASM5572152v1_genomic.fna	chromosome			CM146767.1 Klebsiella pneumoniae strain KK66 chromosome, complete sequence, whole genome shotgun sequence	5368493	0.5743307985414142	ce9cae813a4be469586f173e9a26b332	01399	CP016586.1	16s-rRNA	16S	1554	1	1554	2331938	2333489						
GCA_055721525.1_ASM5572152v1_genomic.fna	chromosome			CM146767.1 Klebsiella pneumoniae strain KK66 chromosome, complete sequence, whole genome shotgun sequence	5368493	0.5743307985414142	ce9cae813a4be469586f173e9a26b332	01400	CP016586.1	23s-rRNA	23S	3027	660	3027	2334369	2336736						
GCA_055721525.1_ASM5572152v1_genomic.fna	chromosome			CM146767.1 Klebsiella pneumoniae strain KK66 chromosome, complete sequence, whole genome shotgun sequence	5368493	0.5743307985414142	ce9cae813a4be469586f173e9a26b332	01399	CP016586.1	16s-rRNA	16S	1554	1	1554	2683335	2684886						
GCA_055721525.1_ASM5572152v1_genomic.fna	chromosome			CM146767.1 Klebsiella pneumoniae strain KK66 chromosome, complete sequence, whole genome shotgun sequence	5368493	0.5743307985414142	ce9cae813a4be469586f173e9a26b332	01400	CP016586.1	23s-rRNA	23S	3027	660	3027	2685766	2688133						
GCA_055721525.1_ASM5572152v1_genomic.fna	chromosome			CM146767.1 Klebsiella pneumoniae strain KK66 chromosome, complete sequence, whole genome shotgun sequence	5368493	0.5743307985414142	ce9cae813a4be469586f173e9a26b332	01399	CP016586.1	16s-rRNA	16S	1554	1	1554	3058393	3059944						
GCA_055721525.1_ASM5572152v1_genomic.fna	chromosome			CM146767.1 Klebsiella pneumoniae strain KK66 chromosome, complete sequence, whole genome shotgun sequence	5368493	0.5743307985414142	ce9cae813a4be469586f173e9a26b332	01400	CP016586.1	23s-rRNA	23S	3027	660	3027	3060988	3063355						
GCA_055721525.1_ASM5572152v1_genomic.fna	chromosome			CM146767.1 Klebsiella pneumoniae strain KK66 chromosome, complete sequence, whole genome shotgun sequence	5368493	0.5743307985414142	ce9cae813a4be469586f173e9a26b332	00918	LT898486	ISKpn26	IS5	1197	1	1196	3128488	3129682						
GCA_055721525.1_ASM5572152v1_genomic.fna	chromosome			CM146767.1 Klebsiella pneumoniae strain KK66 chromosome, complete sequence, whole genome shotgun sequence	5368493	0.5743307985414142	ce9cae813a4be469586f173e9a26b332	01320	CP016763	ISCfr12	ISL3	1316	1	1316	3396203	3397518						
GCA_055721525.1_ASM5572152v1_genomic.fna	chromosome			JBVQRR010000003.1 Klebsiella pneumoniae strain KK66 plasmid pKK66_2, whole genome shotgun sequence	46160	0.46652946273830154	748760b28002af67ce09b3707ae26501	01321	MF458176	ISKox3	ISL3	46161	25695	46161	1	20467						
GCA_055721525.1_ASM5572152v1_genomic.fna	chromosome			JBVQRR010000003.1 Klebsiella pneumoniae strain KK66 plasmid pKK66_2, whole genome shotgun sequence	46160	0.46652946273830154	748760b28002af67ce09b3707ae26501	01321	MF458176	ISKox3	ISL3	46161	1	25694	20468	46160						
GCA_055721525.1_ASM5572152v1_genomic.fna	plasmid	AA275	AI077	JBVQRR010000002.1 Klebsiella pneumoniae strain KK66 plasmid pKK66_1, whole genome shotgun sequence	227370	0.5275498086818842	6612e9b4539a6a3280d5e313e5573238	00918	LT898486	ISKpn26	IS5	1197	1	1196	18827	20022	1196	plus	99.0	98.662	0.0	2121
GCA_055721525.1_ASM5572152v1_genomic.fna	plasmid	AA275	AI077	JBVQRR010000002.1 Klebsiella pneumoniae strain KK66 plasmid pKK66_1, whole genome shotgun sequence	227370	0.5275498086818842	6612e9b4539a6a3280d5e313e5573238	00163	KJ125070	ISEcp1	IS1380	2656	1	2656	43830	46488	2661	minus	100.0	96.618	0.0	4409
GCA_055721525.1_ASM5572152v1_genomic.fna	plasmid	AA275	AI077	JBVQRR010000002.1 Klebsiella pneumoniae strain KK66 plasmid pKK66_1, whole genome shotgun sequence	227370	0.5275498086818842	6612e9b4539a6a3280d5e313e5573238	01029	KU997026	IS6100	IS6	5466	473	1476	55362	56365	1004	plus	18.0	100.0	0.0	1855
GCA_055721525.1_ASM5572152v1_genomic.fna	plasmid	AA275	AI077	JBVQRR010000002.1 Klebsiella pneumoniae strain KK66 plasmid pKK66_1, whole genome shotgun sequence	227370	0.5275498086818842	6612e9b4539a6a3280d5e313e5573238	01029	KU997026	IS6100	IS6	5466	2123	3719	58111	59707	1597	plus	29.0	100.0	0.0	2950
GCA_055721525.1_ASM5572152v1_genomic.fna	plasmid	AA275	AI077	JBVQRR010000002.1 Klebsiella pneumoniae strain KK66 plasmid pKK66_1, whole genome shotgun sequence	227370	0.5275498086818842	6612e9b4539a6a3280d5e313e5573238	01029	KU997026	IS6100	IS6	5466	4123	5466	61463	62806	1344	plus	25.0	99.777	0.0	2466
GCA_055721525.1_ASM5572152v1_genomic.fna	plasmid	AA275	AI077	JBVQRR010000002.1 Klebsiella pneumoniae strain KK66 plasmid pKK66_1, whole genome shotgun sequence	227370	0.5275498086818842	6612e9b4539a6a3280d5e313e5573238	00918	LT898486	ISKpn26	IS5	1197	1	1196	125023	126217	1199	plus	99.0	90.909	0.0	1604
GCA_055721525.1_ASM5572152v1_genomic.fna	plasmid	AA275	AI077	JBVQRR010000002.1 Klebsiella pneumoniae strain KK66 plasmid pKK66_1, whole genome shotgun sequence	227370	0.5275498086818842	6612e9b4539a6a3280d5e313e5573238	01161	MF344567	ISKox1	IS66	2526	1	2526	134086	136611	2527	minus	100.0	90.859	0.0	3386
