qseqid	sseqid	qlen	slen	qstart	qend	sstart	send	length	mismatch	pident	qcovhsp	qcovs	sstrand	evalue	bitscore	biomarker
CP024497_00001|IncFIB	JBVQRU010000002.1 Klebsiella pneumoniae strain KK53 plasmid pKK53_1, whole genome shotgun sequence	1089	317671	1	1089	148651	149739	1090	77	92.752	100.0	100.0	minus	0.0	1574	replicon
JN420336|IncHI1B	JBVQRU010000002.1 Klebsiella pneumoniae strain KK53 plasmid pKK53_1, whole genome shotgun sequence	570	317671	1	570	251113	251682	570	0	100.0	100.0	100.0	plus	0.0	1053	replicon
000483__CP010949_00006|rep_cluster_1195	JBVQRU010000003.1 Klebsiella pneumoniae strain KK53 plasmid pKK53_2, whole genome shotgun sequence	948	9697	13	937	1491	2413	932	152	81.974	98.0	98.0	minus	0.0	776	replicon
000483__CP010949_00006|rep_cluster_1195	JBVQRU010000003.1 Klebsiella pneumoniae strain KK53 plasmid pKK53_2, whole genome shotgun sequence	948	9697	13	476	7620	8083	464	66	85.776	49.0	98.0	minus	3.35e-139	492	replicon
000107__CP014778_00094|IncFIB	JBVQRU010000004.1 Klebsiella pneumoniae strain KK53 plasmid pKK53_3, whole genome shotgun sequence	1011	104540	1	1011	8571	9581	1011	98	90.307	100.0	100.0	plus	0.0	1325	replicon
NC_016980_00239|MOBH	JBVQRU010000002.1 Klebsiella pneumoniae strain KK53 plasmid pKK53_1, whole genome shotgun sequence	982	317671	1	982	73740	76685	982	0	100.0	100.0	100.0	plus	0.0	1949	relaxase
NC_019160_00002|MOBP	JBVQRU010000003.1 Klebsiella pneumoniae strain KK53 plasmid pKK53_2, whole genome shotgun sequence	484	9697	1	173	483	1001	173	2	98.844	36.0	100.0	minus	9.830000000000001e-110	355	relaxase
NC_019160_00002|MOBP	JBVQRU010000003.1 Klebsiella pneumoniae strain KK53 plasmid pKK53_2, whole genome shotgun sequence	484	9697	1	484	5067	6518	484	7	98.554	100.0	100.0	minus	0.0	946	relaxase
NC_021231_00058|MOBF	JBVQRU010000004.1 Klebsiella pneumoniae strain KK53 plasmid pKK53_3, whole genome shotgun sequence	1753	104540	1	1753	48901	54156	1753	68	96.064	100.0	100.0	minus	0.0	3302	relaxase
CP035180_00077|MOBF	JBVQRU010000004.1 Klebsiella pneumoniae strain KK53 plasmid pKK53_3, whole genome shotgun sequence	687	104540	1	251	54168	54923	252	18	92.46	37.0	100.0	minus	0.0	380	relaxase
