locus_tag	ftype	length_bp	gene	EC_number	COG	product
MKEIHBDH_00001	CDS	657				hypothetical protein
MKEIHBDH_00002	CDS	933				hypothetical protein
MKEIHBDH_00003	CDS	978	acuI	1.3.1.84	COG0604	putative acrylyl-CoA reductase AcuI
MKEIHBDH_00004	CDS	705	acuR		COG1309	Transcriptional regulator AcuR
MKEIHBDH_00005	CDS	1635				hypothetical protein
MKEIHBDH_00006	tRNA	76				tRNA-Asn(gtt)
MKEIHBDH_00007	CDS	918	argP_1			HTH-type transcriptional regulator ArgP
MKEIHBDH_00008	CDS	951	cbl		COG0583	HTH-type transcriptional regulator cbl
MKEIHBDH_00009	CDS	942	erfK	2.-.-.-	COG1376	putative L,D-transpeptidase ErfK/SrfK
MKEIHBDH_00010	CDS	921				HTH-type transcriptional regulator
MKEIHBDH_00011	CDS	390	yjgH		COG0251	RutC family protein YjgH
MKEIHBDH_00012	tRNA	76				tRNA-Asn(gtt)
MKEIHBDH_00013	CDS	798	mtfA	3.4.11.-		Mlc titration factor A
MKEIHBDH_00014	tRNA	90				tRNA-Ser(cga)
MKEIHBDH_00015	CDS	1146	ompN_1		COG3203	Outer membrane porin N
MKEIHBDH_00016	CDS	282	drpB			Cell division protein DrpB
MKEIHBDH_00017	CDS	708	yedJ		COG1418	putative protein YedJ
MKEIHBDH_00018	CDS	1401	dcm	2.1.1.37	COG0270	DNA-cytosine methyltransferase
MKEIHBDH_00019	CDS	498	vsr	3.1.-.-	COG3727	DNA mismatch endonuclease Vsr
MKEIHBDH_00020	CDS	912	yedA		COG0697	putative inner membrane transporter YedA
MKEIHBDH_00021	CDS	912	yedI		COG2354	Inner membrane protein YedI
MKEIHBDH_00022	CDS	1680	dgcQ	2.7.7.65	COG3706	putative diguanylate cyclase DgcQ
MKEIHBDH_00023	CDS	225				hypothetical protein
MKEIHBDH_00024	CDS	192	dsrB			Protein DsrB
MKEIHBDH_00025	CDS	624	rcsA		COG2197	Transcriptional regulatory protein RcsA
MKEIHBDH_00026	CDS	432				hypothetical protein
MKEIHBDH_00027	CDS	1488	amyA	3.2.1.1	COG0366	Cytoplasmic alpha-amylase
MKEIHBDH_00028	CDS	768	tcyJ_1		COG0834	L-cystine-binding protein TcyJ
MKEIHBDH_00029	CDS	987	dcyD	4.4.1.15	COG2515	D-cysteine desulfhydrase
MKEIHBDH_00030	CDS	669	tcyL_1		COG0765	L-cystine transport system permease protein TcyL
MKEIHBDH_00031	CDS	753	tcyN	7.4.2.12	COG1126	L-cystine transport system ATP-binding protein TcyN
MKEIHBDH_00032	CDS	723	sdiA		COG2197	Regulatory protein SdiA
MKEIHBDH_00033	CDS	225				hypothetical protein
MKEIHBDH_00034	CDS	657	uvrY		COG2197	Response regulator UvrY
MKEIHBDH_00035	CDS	1833	uvrC		COG0322	UvrABC system protein C
MKEIHBDH_00036	CDS	549	pgsA	2.7.8.5	COG0558	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
MKEIHBDH_00037	tRNA	76				tRNA-Gly(gcc)
MKEIHBDH_00038	tRNA	74				tRNA-Cys(gca)
MKEIHBDH_00039	tRNA	87				tRNA-Leu(taa)
MKEIHBDH_00040	CDS	882	dapA_1	4.3.3.7	COG0329	4-hydroxy-tetrahydrodipicolinate synthase
MKEIHBDH_00041	CDS	669				hypothetical protein
MKEIHBDH_00042	CDS	420	tyrP_1		COG0814	Tyrosine-specific transport system
MKEIHBDH_00043	CDS	696	tyrP_2		COG0814	Tyrosine-specific transport system
MKEIHBDH_00044	CDS	240				hypothetical protein
MKEIHBDH_00045	CDS	498	ftnA_1	1.16.3.2	COG1528	Bacterial non-heme ferritin
MKEIHBDH_00046	CDS	639				hypothetical protein
