locus_tag	ftype	length_bp	gene	EC_number	COG	product
MCHNEBJF_00001	CDS	1335	dnaA_1	3.6.4.-	COG0593	Chromosomal replication initiator protein DnaA
MCHNEBJF_00002	CDS	1101	dnaN		COG0592	Beta sliding clamp
MCHNEBJF_00003	CDS	1074	recF		COG1195	DNA replication and repair protein RecF
MCHNEBJF_00004	CDS	2415	gyrB			DNA topoisomerase (ATP-hydrolyzing) subunit B GyrB
MCHNEBJF_00005	CDS	813	yidA	3.1.3.23	COG0561	Sugar phosphatase YidA
MCHNEBJF_00006	CDS	1062				hypothetical protein
MCHNEBJF_00007	CDS	1134				hypothetical protein
MCHNEBJF_00008	CDS	690	dgoR_1		COG2186	Galactonate operon transcriptional repressor
MCHNEBJF_00009	CDS	879	dgoK_1	2.7.1.58	COG3734	2-dehydro-3-deoxygalactonokinase
MCHNEBJF_00010	CDS	618	dgoA_1	4.1.2.21	COG0800	2-dehydro-3-deoxy-6-phosphogalactonate aldolase
MCHNEBJF_00011	CDS	663	dgoD_1	4.2.1.6	COG4948	D-galactonate dehydratase
MCHNEBJF_00012	CDS	981			COG3039	IS5 family transposase ISKpn26
MCHNEBJF_00013	CDS	603	dgoD_2	4.2.1.6	COG4948	D-galactonate dehydratase
MCHNEBJF_00014	CDS	1293	dgoT_1		COG2271	D-galactonate transporter
MCHNEBJF_00015	CDS	1221				hypothetical protein
MCHNEBJF_00016	CDS	333				hypothetical protein
MCHNEBJF_00017	CDS	414	ibpA		COG0071	Small heat shock protein IbpA
MCHNEBJF_00018	CDS	429	ibpB_1		COG0071	Small heat shock protein IbpB
MCHNEBJF_00019	CDS	825				hypothetical protein
MCHNEBJF_00020	CDS	1662	aspT_1			Aspartate/alanine antiporter
MCHNEBJF_00021	CDS	723	mngR_1		COG2188	Mannosyl-D-glycerate transport/metabolism system repressor MngR
MCHNEBJF_00022	CDS	1623	malP_1		COG1263	PTS system maltose-specific EIICB component
MCHNEBJF_00023	CDS	1323	aglB	3.2.1.122		6-phospho-alpha-glucosidase
MCHNEBJF_00024	CDS	348	yidH		COG2149	Inner membrane protein YidH
MCHNEBJF_00025	CDS	363	yidG			Inner membrane protein YidG
MCHNEBJF_00026	CDS	501				hypothetical protein
MCHNEBJF_00027	CDS	1329	dsdA	4.3.1.18	COG3048	D-serine dehydratase
MCHNEBJF_00028	CDS	1338	dsdX		COG2610	D-serine transporter DsdX
MCHNEBJF_00029	CDS	924	dsdC_1		COG0583	HTH-type transcriptional regulator DsdC
MCHNEBJF_00030	CDS	1185	emrD		COG2814	Multidrug resistance protein D
MCHNEBJF_00031	CDS	834				hypothetical protein
MCHNEBJF_00032	CDS	447				hypothetical protein
MCHNEBJF_00033	CDS	90				hypothetical protein
MCHNEBJF_00034	CDS	96				hypothetical protein
MCHNEBJF_00035	CDS	1689	ilvB_1	2.2.1.6	COG0028	Acetolactate synthase isozyme 1 large subunit
MCHNEBJF_00036	CDS	288	ilvN	2.2.1.6	COG0440	Acetolactate synthase isozyme 1 small subunit
MCHNEBJF_00037	CDS	594	uhpA		COG2197	Transcriptional regulatory protein UhpA
MCHNEBJF_00038	CDS	1503	uhpB	2.7.13.3	COG3851	Signal transduction histidine-protein kinase/phosphatase UhpB
MCHNEBJF_00039	CDS	1329	uhpC		COG2271	Membrane sensor protein UhpC
MCHNEBJF_00040	CDS	1392	uhpT			hexose phosphate transporter UhpT
MCHNEBJF_00041	CDS	453				hypothetical protein
MCHNEBJF_00042	CDS	324				hypothetical protein
MCHNEBJF_00043	CDS	360				hypothetical protein
