locus_tag	ftype	length_bp	gene	EC_number	COG	product
PJHHOHPP_00001	CDS	1710				hypothetical protein
PJHHOHPP_00002	CDS	291				hypothetical protein
PJHHOHPP_00003	CDS	162				hypothetical protein
PJHHOHPP_00004	CDS	2226				hypothetical protein
PJHHOHPP_00005	CDS	2385				hypothetical protein
PJHHOHPP_00006	CDS	381				hypothetical protein
PJHHOHPP_00007	CDS	486				hypothetical protein
PJHHOHPP_00008	CDS	474				hypothetical protein
PJHHOHPP_00009	CDS	3387				hypothetical protein
PJHHOHPP_00010	CDS	234				hypothetical protein
PJHHOHPP_00011	CDS	306				hypothetical protein
PJHHOHPP_00012	CDS	366				hypothetical protein
PJHHOHPP_00013	CDS	705				hypothetical protein
PJHHOHPP_00014	CDS	348				hypothetical protein
PJHHOHPP_00015	CDS	450				hypothetical protein
PJHHOHPP_00016	CDS	339				hypothetical protein
PJHHOHPP_00017	CDS	321				hypothetical protein
PJHHOHPP_00018	CDS	204				hypothetical protein
PJHHOHPP_00019	CDS	1209				hypothetical protein
PJHHOHPP_00020	CDS	657				hypothetical protein
PJHHOHPP_00021	CDS	1230				hypothetical protein
PJHHOHPP_00022	CDS	186				hypothetical protein
PJHHOHPP_00023	CDS	1731				hypothetical protein
PJHHOHPP_00024	CDS	495				hypothetical protein
PJHHOHPP_00025	CDS	246				hypothetical protein
PJHHOHPP_00026	CDS	243				hypothetical protein
PJHHOHPP_00027	CDS	201				hypothetical protein
PJHHOHPP_00028	CDS	276				hypothetical protein
PJHHOHPP_00029	CDS	348				hypothetical protein
PJHHOHPP_00030	CDS	540				hypothetical protein
PJHHOHPP_00031	CDS	312				hypothetical protein
PJHHOHPP_00032	CDS	240				hypothetical protein
PJHHOHPP_00033	CDS	579				hypothetical protein
PJHHOHPP_00034	CDS	981				hypothetical protein
PJHHOHPP_00035	CDS	378	rusA_1	3.1.21.10	COG4570	Crossover junction endodeoxyribonuclease RusA
PJHHOHPP_00036	CDS	825	dam_1	2.1.1.72	COG0338	DNA adenine methylase
PJHHOHPP_00037	CDS	969				hypothetical protein
PJHHOHPP_00038	CDS	462				hypothetical protein
PJHHOHPP_00039	CDS	660			COG1974	putative HTH-type transcriptional regulator
PJHHOHPP_00040	CDS	918	rdgC_1		COG2974	Recombination-associated protein RdgC
PJHHOHPP_00041	CDS	300				hypothetical protein
PJHHOHPP_00042	CDS	786				hypothetical protein
PJHHOHPP_00043	CDS	135				hypothetical protein
PJHHOHPP_00044	CDS	1077				hypothetical protein
PJHHOHPP_00045	CDS	909				hypothetical protein
PJHHOHPP_00046	CDS	228				hypothetical protein
PJHHOHPP_00047	CDS	993				hypothetical protein
PJHHOHPP_00048	tRNA	90				tRNA-Ser(cga)
PJHHOHPP_00049	CDS	798	mtfA	3.4.11.-		Mlc titration factor A
PJHHOHPP_00050	tRNA	76				tRNA-Asn(gtt)
PJHHOHPP_00051	CDS	390	yjgH		COG0251	RutC family protein YjgH
PJHHOHPP_00052	CDS	921				HTH-type transcriptional regulator
PJHHOHPP_00053	CDS	942	erfK	2.-.-.-	COG1376	putative L,D-transpeptidase ErfK/SrfK
PJHHOHPP_00054	CDS	951	cbl		COG0583	HTH-type transcriptional regulator cbl
PJHHOHPP_00055	CDS	918	argP_1			HTH-type transcriptional regulator ArgP
PJHHOHPP_00056	tRNA	76				tRNA-Asn(gtt)
PJHHOHPP_00057	CDS	1263	intA_1		COG0582	Prophage integrase IntA
PJHHOHPP_00058	CDS	1305	mbtI	5.4.99.5	COG1169	Salicylate synthase
PJHHOHPP_00059	CDS	1281	schE		COG2814	Schizokinen exporter SchE
