locus_tag	ftype	length_bp	gene	EC_number	COG	product
OGHMHICF_00001	rRNA	116				5S ribosomal RNA
OGHMHICF_00002	rRNA	2902				23S ribosomal RNA
OGHMHICF_00003	tRNA	76				tRNA-Glu(ttc)
OGHMHICF_00004	rRNA	1540				16S ribosomal RNA
OGHMHICF_00005	CDS	2574	clpB		COG0542	Chaperone protein ClpB
OGHMHICF_00006	CDS	732	yfiH	2.4.2.1		Purine nucleoside phosphorylase YfiH
OGHMHICF_00007	CDS	777	rluD	5.4.99.23		Ribosomal large subunit pseudouridine synthase D
OGHMHICF_00008	CDS	738	bamD		COG4105	Outer membrane protein assembly factor BamD
OGHMHICF_00009	CDS	336	raiA		COG1544	Ribosome-associated inhibitor A
OGHMHICF_00010	CDS	1161	pheA		COG0077	Bifunctional chorismate mutase/prephenate dehydratase
OGHMHICF_00011	CDS	873		3.1.1.99		6-deoxy-6-sulfogluconolactonase
OGHMHICF_00012	CDS	1122	tyrA		COG0287	T-protein
OGHMHICF_00013	CDS	1071	aroF	2.5.1.54	COG0722	Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive
OGHMHICF_00014	CDS	510	yfiR			Negative regulator YfiR
OGHMHICF_00015	CDS	1224	dgcN	2.7.7.65	COG2199	Diguanylate cyclase DgcN
OGHMHICF_00016	CDS	483	yfiB			Outer-membrane lipoprotein YfiB
OGHMHICF_00017	CDS	1371				hypothetical protein
OGHMHICF_00018	CDS	459				hypothetical protein
OGHMHICF_00019	CDS	348	rplS		COG0335	Large ribosomal subunit protein bL19
OGHMHICF_00020	CDS	768	trmD	2.1.1.228	COG0336	tRNA (guanine-N(1)-)-methyltransferase
OGHMHICF_00021	CDS	549	rimM		COG0806	Ribosome maturation factor RimM
OGHMHICF_00022	CDS	249	rpsP		COG0228	Small ribosomal subunit protein bS16
OGHMHICF_00023	CDS	1365	ffh	3.6.5.4	COG0541	Signal recognition particle protein
OGHMHICF_00024	CDS	792	ypjD		COG4137	Inner membrane protein YpjD
OGHMHICF_00025	CDS	1287				hypothetical protein
OGHMHICF_00026	CDS	591	grpE			Protein GrpE
OGHMHICF_00027	CDS	879	nadK	2.7.1.23	COG0061	NAD kinase
OGHMHICF_00028	CDS	1662	recN		COG0497	DNA repair protein RecN
OGHMHICF_00029	CDS	342	bamE		COG2913	Outer membrane protein assembly factor BamE
OGHMHICF_00030	CDS	291				hypothetical protein
OGHMHICF_00031	CDS	438	ratA		COG2867	Ribosome association toxin RatA
OGHMHICF_00032	CDS	483	smpB		COG0691	SsrA-binding protein
OGHMHICF_00033	tmRNA	363	ssrA			transfer-messenger RNA, SsrA
OGHMHICF_00034	CDS	1194	intA_1		COG0582	Prophage integrase IntA
OGHMHICF_00035	CDS	2508				hypothetical protein
OGHMHICF_00036	CDS	285				IS3 family transposase ISEam1
OGHMHICF_00037	CDS	621				IS3 family transposase ISEc14
OGHMHICF_00038	CDS	180				IS3 family transposase ISEam1
OGHMHICF_00039	CDS	834				hypothetical protein
OGHMHICF_00040	CDS	600				hypothetical protein
OGHMHICF_00041	CDS	885				HTH-type transcriptional regulator
OGHMHICF_00042	CDS	573				hypothetical protein
OGHMHICF_00043	CDS	366	rob_1		COG2207	Right origin-binding protein
OGHMHICF_00044	CDS	1176	bepF			Efflux pump periplasmic linker BepF
OGHMHICF_00045	CDS	3153	oqxB19			multidrug efflux RND transporter permease subunit OqxB19
OGHMHICF_00046	CDS	480				hypothetical protein
OGHMHICF_00047	CDS	912				hypothetical protein
OGHMHICF_00048	CDS	951	gbuA	3.5.3.7		Guanidinobutyrase
OGHMHICF_00049	CDS	864				hypothetical protein
OGHMHICF_00050	CDS	1068	vldW_1	1.14.11.52		Validamycin A dioxygenase
OGHMHICF_00051	CDS	804	tcyJ_1		COG0834	L-cystine-binding protein TcyJ
OGHMHICF_00052	CDS	1521	uup_1	3.6.1.-		ATP-binding protein Uup
OGHMHICF_00053	CDS	729	cloR	1.13.11.83		4-hydroxy-3-prenylphenylpyruvate oxygenase/4-hydroxy-3-prenylbenzoate synthase
OGHMHICF_00054	CDS	933	ghrA_1	1.1.1.79		Glyoxylate/hydroxypyruvate reductase A
OGHMHICF_00055	CDS	795	fabG_1	1.1.1.100	COG1028	3-oxoacyl-[acyl-carrier-protein] reductase FabG
OGHMHICF_00056	CDS	621				hypothetical protein
OGHMHICF_00057	CDS	762	pheC			Cyclohexadienyl dehydratase
OGHMHICF_00058	CDS	702				hypothetical protein
OGHMHICF_00059	CDS	549				hypothetical protein
OGHMHICF_00060	CDS	669	yadV_1		COG3121	putative fimbrial chaperone YadV
OGHMHICF_00061	CDS	2538	fimD_1		COG3188	Outer membrane usher protein FimD
OGHMHICF_00062	CDS	1029				hypothetical protein
OGHMHICF_00063	CDS	1095				hypothetical protein
OGHMHICF_00064	CDS	1407	fimD_2		COG3188	Outer membrane usher protein FimD
OGHMHICF_00065	CDS	1194	yraJ_1		COG3188	Outer membrane usher protein YraJ
OGHMHICF_00066	CDS	663	yraI_1		COG3121	putative fimbrial chaperone YraI
OGHMHICF_00067	CDS	618				hypothetical protein
OGHMHICF_00068	CDS	696	exaC_1	1.2.1.-		Acetaldehyde dehydrogenase
OGHMHICF_00069	CDS	825	exaC_2	1.2.1.-		Acetaldehyde dehydrogenase
OGHMHICF_00070	CDS	1788	acoR		COG3284	Acetoin dehydrogenase operon transcriptional activator AcoR
OGHMHICF_00071	CDS	597	ybjG_1	3.6.1.27	COG0671	Putative undecaprenyl-diphosphatase YbjG
OGHMHICF_00072	CDS	918	crgA_1			HTH-type transcriptional regulator CrgA
OGHMHICF_00073	CDS	606	azoR_1	1.6.5.-	COG1182	FMN-dependent NADH:quinone oxidoreductase
OGHMHICF_00074	CDS	300	ygaV		COG0640	HTH-type transcriptional regulator YgaV
OGHMHICF_00075	CDS	546	ygaP	2.8.1.1	COG0607	Thiosulfate sulfurtransferase YgaP
OGHMHICF_00076	CDS	903				hypothetical protein
OGHMHICF_00077	CDS	180				hypothetical protein
OGHMHICF_00078	CDS	402	stpA		COG2916	DNA-binding protein StpA
OGHMHICF_00079	CDS	450	alaE			L-alanine exporter AlaE
OGHMHICF_00080	CDS	363				hypothetical protein
OGHMHICF_00081	CDS	348	ygaM		COG4575	putative protein YgaM
OGHMHICF_00082	CDS	1353	gabR_1		COG1167	HTH-type transcriptional regulatory protein GabR
OGHMHICF_00083	CDS	432				hypothetical protein
OGHMHICF_00084	CDS	246	nrdH		COG0695	Glutaredoxin-like protein NrdH
OGHMHICF_00085	CDS	411	nrdI		COG1780	Protein NrdI
OGHMHICF_00086	CDS	2142	nrdE	1.17.4.1	COG0209	Ribonucleoside-diphosphate reductase 2 subunit alpha
OGHMHICF_00087	CDS	963	nrdF	1.17.4.1		Ribonucleoside-diphosphate reductase 2 subunit beta
OGHMHICF_00088	CDS	1203	proV			Glycine betaine/proline betaine transport system ATP-binding protein ProV
OGHMHICF_00089	CDS	1068	proW			Glycine betaine/proline betaine transport system permease protein ProW
OGHMHICF_00090	CDS	999	proX			Glycine betaine/proline betaine-binding periplasmic protein
OGHMHICF_00091	CDS	747	ygaZ_1		COG1296	Inner membrane protein YgaZ
OGHMHICF_00092	CDS	336				hypothetical protein
OGHMHICF_00093	CDS	531	mprA		COG1846	Transcriptional repressor MprA
OGHMHICF_00094	CDS	1173	emrA_1		COG1566	Multidrug export protein EmrA
OGHMHICF_00095	CDS	1539	emrB_1		COG2814	Multidrug export protein EmrB
OGHMHICF_00096	CDS	1677	leuA_1	2.3.3.13	COG0119	2-isopropylmalate synthase
OGHMHICF_00097	CDS	768	nimR_1		COG2207	HTH-type transcriptional regulator NimR
OGHMHICF_00098	CDS	516	luxS	4.4.1.21	COG1854	S-ribosylhomocysteine lyase
OGHMHICF_00099	CDS	1557	gshA	6.3.2.2	COG2918	Glutamate--cysteine ligase
OGHMHICF_00100	CDS	429	yqaA		COG1238	Inner membrane protein YqaA
OGHMHICF_00101	CDS	567	yqaB	3.1.3.-	COG0637	Fructose-1-phosphate phosphatase YqaB
OGHMHICF_00102	CDS	315				hypothetical protein
OGHMHICF_00103	tRNA	77				tRNA-Arg(acg)
OGHMHICF_00104	tRNA	77				tRNA-Arg(acg)
OGHMHICF_00105	tRNA	77				tRNA-Arg(acg)
OGHMHICF_00106	tRNA	77				tRNA-Arg(acg)
OGHMHICF_00107	tRNA	77				tRNA-Arg(acg)
OGHMHICF_00108	tRNA	93				tRNA-Ser(gct)
OGHMHICF_00109	CDS	186	csrA		COG1551	Carbon storage regulator
OGHMHICF_00110	CDS	2628	alaS	6.1.1.7	COG0013	Alanine--tRNA ligase
OGHMHICF_00111	CDS	501	recX		COG2137	Regulatory protein RecX
OGHMHICF_00112	CDS	1059	recA			Protein RecA
OGHMHICF_00113	CDS	498	pncC_1	3.5.1.42	COG1546	Nicotinamide-nucleotide amidohydrolase PncC
OGHMHICF_00114	CDS	879	aztC		COG0803	High-affinity zinc uptake system protein AztC
OGHMHICF_00115	CDS	864	mntB_1		COG1108	Manganese transport system membrane protein MntB
OGHMHICF_00116	CDS	678	mntB_2		COG1121	Manganese transport system ATP-binding protein MntB
OGHMHICF_00117	CDS	108				hypothetical protein
OGHMHICF_00118	CDS	1080	mltB	4.2.2.-	COG2951	Membrane-bound lytic murein transglycosylase B
OGHMHICF_00119	CDS	564	srlA		COG3730	PTS system glucitol/sorbitol-specific EIIC component
OGHMHICF_00120	CDS	981	srlE	2.7.1.198	COG3732	PTS system glucitol/sorbitol-specific EIIB component
OGHMHICF_00121	CDS	363	srlB		COG3731	PTS system glucitol/sorbitol-specific EIIA component
OGHMHICF_00122	CDS	780	srlD	1.1.1.140	COG1028	Sorbitol-6-phosphate 2-dehydrogenase
OGHMHICF_00123	CDS	360				hypothetical protein
OGHMHICF_00124	CDS	774	srlR_1		COG1349	Glucitol operon repressor
OGHMHICF_00125	CDS	966	gutQ	5.3.1.13	COG0517	Arabinose 5-phosphate isomerase GutQ
OGHMHICF_00126	CDS	1551	norR_1			Anaerobic nitric oxide reductase transcription regulator NorR
OGHMHICF_00127	CDS	1449	norV		COG0426	Anaerobic nitric oxide reductase flavorubredoxin
OGHMHICF_00128	CDS	1134	norW_1	1.18.1.-	COG0446	Nitric oxide reductase FlRd-NAD(+) reductase
OGHMHICF_00129	CDS	1014	hoxN		COG3376	High-affinity nickel transport protein
OGHMHICF_00130	CDS	2235	hypF	6.2.-.-	COG0068	Carbamoyltransferase HypF
OGHMHICF_00131	CDS	528	aegA_1		COG0493	Putative oxidoreductase AegA
OGHMHICF_00132	CDS	1014	ascG_1		COG1609	HTH-type transcriptional regulator AscG
OGHMHICF_00133	CDS	1443	sacP_1		COG1263	PTS system sucrose-specific EIIBC component
OGHMHICF_00134	CDS	1425	bglH_1	3.2.1.86	COG2723	Aryl-phospho-beta-D-glucosidase BglH
OGHMHICF_00135	CDS	309	symE	3.1.-.-		Endoribonuclease SymE
OGHMHICF_00136	CDS	471	hycI	3.4.23.51	COG0680	Hydrogenase 3 maturation protease
OGHMHICF_00137	CDS	411				hypothetical protein
OGHMHICF_00138	CDS	768	hycG		COG3260	Formate hydrogenlyase subunit 7
OGHMHICF_00139	CDS	543	hycF		COG1143	Formate hydrogenlyase subunit 6
OGHMHICF_00140	CDS	1710	hycE		COG3261	Formate hydrogenlyase subunit 5
OGHMHICF_00141	CDS	924	hycD		COG0650	Formate hydrogenlyase subunit 4
OGHMHICF_00142	CDS	1827	hycC		COG0651	Formate hydrogenlyase subunit 3
