locus_tag	ftype	length_bp	gene	EC_number	COG	product
PCAPKKMB_00001	rRNA	1540				16S ribosomal RNA
PCAPKKMB_00002	tRNA	76				tRNA-Glu(ttc)
PCAPKKMB_00003	rRNA	2902				23S ribosomal RNA
PCAPKKMB_00004	rRNA	116				5S ribosomal RNA
PCAPKKMB_00005	CDS	507	mobB		COG1763	Molybdopterin-guanine dinucleotide biosynthesis adapter protein
PCAPKKMB_00006	CDS	582	mobA	2.7.7.77	COG0746	Molybdenum cofactor guanylyltransferase
PCAPKKMB_00007	CDS	270	yihD		COG3084	Protein YihD
PCAPKKMB_00008	CDS	987	srkA	2.7.11.1	COG2334	Stress response kinase A
PCAPKKMB_00009	CDS	624	dsbA_1			Thiol:disulfide interchange protein DsbA
PCAPKKMB_00010	CDS	900	yihG	2.3.1.51	COG0204	1-acylglycerol-3-phosphate O-acyltransferase YihG
PCAPKKMB_00011	CDS	2793	polA	2.7.7.7	COG0258	DNA polymerase I
PCAPKKMB_00012	CDS	633	engB			putative GTP-binding protein EngB
PCAPKKMB_00013	CDS	507	yihI		COG3078	Der GTPase-activating protein YihI
PCAPKKMB_00014	CDS	1374	hemN	1.3.98.3	COG0635	Oxygen-independent coproporphyrinogen III oxidase
PCAPKKMB_00015	CDS	111	yshB			putative protein YshB
PCAPKKMB_00016	CDS	1410	ntrC			DNA-binding transcriptional regulator NtrC
PCAPKKMB_00017	CDS	1050	glnL	2.7.13.3	COG3852	Sensory histidine kinase/phosphatase NtrB
PCAPKKMB_00018	CDS	1410	glnA	6.3.1.2	COG0174	Glutamine synthetase
PCAPKKMB_00019	CDS	1824	bipA	3.6.5.-		Large ribosomal subunit assembly factor BipA
PCAPKKMB_00020	CDS	600	yihX	3.1.3.10	COG1011	Alpha-D-glucose 1-phosphate phosphatase YihX
PCAPKKMB_00021	CDS	861				hypothetical protein
PCAPKKMB_00022	CDS	438	dtd	3.1.1.96	COG1490	D-aminoacyl-tRNA deacylase
PCAPKKMB_00023	CDS	942	fabY	2.3.1.-	COG0456	putative acyltransferase FabY
PCAPKKMB_00024	CDS	918	nlhH	3.1.1.1	COG0657	Carboxylesterase NlhH
PCAPKKMB_00025	CDS	249				hypothetical protein
PCAPKKMB_00026	CDS	384	vapC_1	3.1.-.-		tRNA(fMet)-specific endonuclease VapC
PCAPKKMB_00027	CDS	930	fdhE		COG3058	Protein FdhE
PCAPKKMB_00028	CDS	636	fdoI		COG2864	Formate dehydrogenase, cytochrome b556(fdo) subunit
PCAPKKMB_00029	CDS	903	fdoH		COG0437	Formate dehydrogenase-O iron-sulfur subunit
PCAPKKMB_00030	CDS	2415	fdoG_1	1.17.1.9	COG0243	Formate dehydrogenase-O major subunit
PCAPKKMB_00031	CDS	588	fdoG_2	1.17.1.9	COG0243	Formate dehydrogenase-O major subunit
PCAPKKMB_00032	CDS	837	fdhD		COG1526	Sulfur carrier protein FdhD
PCAPKKMB_00033	CDS	213				hypothetical protein
PCAPKKMB_00034	CDS	981	pfp	2.7.1.90		Pyrophosphate--fructose 6-phosphate 1-phosphotransferase
PCAPKKMB_00035	CDS	315				hypothetical protein
PCAPKKMB_00036	CDS	1368	ulaA_1		COG3037	Ascorbate-specific PTS system EIIC component
