qseqid	sseqid	qlen	slen	qstart	qend	sstart	send	length	mismatch	pident	qcovhsp	qcovs	sstrand	evalue	bitscore	biomarker
JN420336|IncHI1B	JBRYHH010000001.1 Klebsiella pneumoniae strain KP4 plasmid pKP4_p1, whole genome shotgun sequence	570	304447	1	570	24162	24731	570	0	100.0	100.0	100.0	plus	0.0	1053	replicon
CP024497_00001|IncFIB	JBRYHH010000001.1 Klebsiella pneumoniae strain KP4 plasmid pKP4_p1, whole genome shotgun sequence	1089	304447	1	1089	226148	227236	1090	77	92.752	100.0	100.0	minus	0.0	1574	replicon
000107__CP014778_00094|IncFIB	JBRYHH010000002.1 Klebsiella pneumoniae strain KP4 plasmid pKP4_p2, whole genome shotgun sequence	1011	102917	1	1011	34086	35096	1011	98	90.307	100.0	100.0	plus	0.0	1325	replicon
000483__CP010949_00006|rep_cluster_1195	JBRYHH010000003.1 Klebsiella pneumoniae strain KP4 plasmid pKP4_p3, whole genome shotgun sequence	948	6141	13	937	4835	5757	932	152	81.974	98.0	98.0	minus	0.0	776	replicon
NC_016980_00239|MOBH	JBRYHH010000001.1 Klebsiella pneumoniae strain KP4 plasmid pKP4_p1, whole genome shotgun sequence	982	304447	1	982	163384	166329	982	0	100.0	100.0	100.0	plus	0.0	1949	relaxase
NC_021231_00058|MOBF	JBRYHH010000002.1 Klebsiella pneumoniae strain KP4 plasmid pKP4_p2, whole genome shotgun sequence	1753	102917	1	1753	74417	79672	1753	68	96.064	100.0	100.0	minus	0.0	3302	relaxase
CP035180_00077|MOBF	JBRYHH010000002.1 Klebsiella pneumoniae strain KP4 plasmid pKP4_p2, whole genome shotgun sequence	687	102917	1	251	79684	80439	252	18	92.46	37.0	100.0	minus	0.0	380	relaxase
NC_019160_00002|MOBP	JBRYHH010000003.1 Klebsiella pneumoniae strain KP4 plasmid pKP4_p3, whole genome shotgun sequence	484	6141	1	484	2270	3721	484	7	98.554	100.0	100.0	minus	0.0	946	relaxase
NC_018107_00101|MPF_F	JBRYHH010000001.1 Klebsiella pneumoniae strain KP4 plasmid pKP4_p1, whole genome shotgun sequence	480	304447	1	480	156690	158129	480	18	96.25	100.0	100.0	minus	0.0	923	mate-pair-formation
NC_016980_00240|MPF_F	JBRYHH010000001.1 Klebsiella pneumoniae strain KP4 plasmid pKP4_p1, whole genome shotgun sequence	708	304447	1	708	166322	168445	708	0	100.0	100.0	100.0	plus	0.0	1480	mate-pair-formation
NC_023911_00309|MPF_F	JBRYHH010000001.1 Klebsiella pneumoniae strain KP4 plasmid pKP4_p1, whole genome shotgun sequence	286	304447	1	286	274491	275348	286	22	92.308	100.0	100.0	plus	3.73e-175	534	mate-pair-formation
NC_018107_00235|MPF_F	JBRYHH010000001.1 Klebsiella pneumoniae strain KP4 plasmid pKP4_p1, whole genome shotgun sequence	389	304447	1	389	275353	276519	389	27	93.059	100.0	100.0	plus	0.0	707	mate-pair-formation
NC_016980_00099|MPF_T	JBRYHH010000001.1 Klebsiella pneumoniae strain KP4 plasmid pKP4_p1, whole genome shotgun sequence	905	304447	1	905	280480	283194	905	0	100.0	100.0	100.0	plus	0.0	1846	mate-pair-formation
NC_016980_00109|MPF_F	JBRYHH010000001.1 Klebsiella pneumoniae strain KP4 plasmid pKP4_p1, whole genome shotgun sequence	453	304447	1	453	293896	295254	453	0	100.0	100.0	100.0	plus	0.0	939	mate-pair-formation
NC_016980_00110|MPF_F	JBRYHH010000001.1 Klebsiella pneumoniae strain KP4 plasmid pKP4_p1, whole genome shotgun sequence	345	304447	1	345	295254	296288	345	0	100.0	100.0	100.0	plus	0.0	718	mate-pair-formation
NC_023332_00154|MPF_F	JBRYHH010000002.1 Klebsiella pneumoniae strain KP4 plasmid pKP4_p2, whole genome shotgun sequence	474	102917	1	396	2	1189	396	2	99.495	84.0	99.0	minus	0.0	681	mate-pair-formation
NC_014312_00118|MPF_F	JBRYHH010000002.1 Klebsiella pneumoniae strain KP4 plasmid pKP4_p2, whole genome shotgun sequence	246	102917	1	246	1192	1929	246	2	99.187	100.0	100.0	minus	3.63e-162	494	mate-pair-formation
NC_014312_00116|MPF_F	JBRYHH010000002.1 Klebsiella pneumoniae strain KP4 plasmid pKP4_p2, whole genome shotgun sequence	101	102917	1	101	2505	2807	101	0	100.0	100.0	100.0	minus	3.31e-64	207	mate-pair-formation
NC_021502_00150|MPF_T	JBRYHH010000002.1 Klebsiella pneumoniae strain KP4 plasmid pKP4_p2, whole genome shotgun sequence	770	102917	1	770	79675	81984	770	7	99.091	100.0	100.0	minus	0.0	1447	mate-pair-formation
NC_023905_00125|MPF_F	JBRYHH010000002.1 Klebsiella pneumoniae strain KP4 plasmid pKP4_p2, whole genome shotgun sequence	949	102917	1	949	84473	87319	949	3	99.684	100.0	100.0	minus	0.0	1769	mate-pair-formation
NC_019165_00034|MPF_F	JBRYHH010000002.1 Klebsiella pneumoniae strain KP4 plasmid pKP4_p2, whole genome shotgun sequence	456	102917	5	456	87322	88677	452	9	98.009	99.0	99.0	minus	0.0	817	mate-pair-formation
NC_021654_00016|MPF_F	JBRYHH010000002.1 Klebsiella pneumoniae strain KP4 plasmid pKP4_p2, whole genome shotgun sequence	668	102917	1	668	91571	93574	668	5	99.251	100.0	100.0	minus	0.0	1280	mate-pair-formation
NC_019389_00080|MPF_F	JBRYHH010000002.1 Klebsiella pneumoniae strain KP4 plasmid pKP4_p2, whole genome shotgun sequence	212	102917	1	212	93574	94209	212	7	96.698	100.0	100.0	minus	2.5499999999999998e-138	424	mate-pair-formation
