locus_tag	ftype	length_bp	gene	EC_number	COG	product
HOLFJHIJ_00001	CDS	210				hypothetical protein
HOLFJHIJ_00002	CDS	807	ais	5.3.3.7		Aconitate isomerase
HOLFJHIJ_00003	CDS	1296	kgtP_1		COG0477	Alpha-ketoglutarate permease
HOLFJHIJ_00004	CDS	927	pcpR_1		COG0583	PCP degradation transcriptional activation protein
HOLFJHIJ_00005	CDS	477				hypothetical protein
HOLFJHIJ_00006	CDS	1644	pckA_1	4.1.1.49	COG1866	Phosphoenolpyruvate carboxykinase (ATP)
HOLFJHIJ_00007	CDS	894	yjiE		COG0583	HTH-type transcriptional regulator YjiE
HOLFJHIJ_00008	CDS	720	livF_1		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF
HOLFJHIJ_00009	CDS	876	glnQ_1	7.4.2.-	COG1126	Glutamine transport ATP-binding protein GlnQ
HOLFJHIJ_00010	CDS	1287				hypothetical protein
HOLFJHIJ_00011	CDS	915	livH_1		COG0559	High-affinity branched-chain amino acid transport system permease protein LivH
HOLFJHIJ_00012	CDS	1065				Amino acid binding protein
HOLFJHIJ_00013	CDS	2295	tdcE	2.3.1.-	COG1882	PFL-like enzyme TdcE
HOLFJHIJ_00014	CDS	1209	tdcD	2.7.2.15		Propionate kinase
HOLFJHIJ_00015	CDS	1332	tdcC		COG0814	Threonine/serine transporter TdcC
HOLFJHIJ_00016	CDS	990	tdcB	4.3.1.19	COG1171	L-threonine dehydratase catabolic TdcB
HOLFJHIJ_00017	CDS	942	tsaR_1			HTH-type transcriptional regulator TsaR
HOLFJHIJ_00018	CDS	801				hypothetical protein
HOLFJHIJ_00019	CDS	1014				hypothetical protein
HOLFJHIJ_00020	CDS	747				hypothetical protein
HOLFJHIJ_00021	CDS	816			COG1305	putative protein
HOLFJHIJ_00022	CDS	930			COG2307	putative protein
HOLFJHIJ_00023	CDS	1440			COG2308	putative protein
HOLFJHIJ_00024	CDS	1746	treA	3.2.1.28	COG1626	Periplasmic trehalase
HOLFJHIJ_00025	CDS	2121	fhuA_1		COG4774	Ferrichrome outer membrane transporter/phage receptor
HOLFJHIJ_00026	CDS	612	emtA	4.2.2.-	COG0741	Endo-type membrane-bound lytic murein transglycosylase A
HOLFJHIJ_00027	CDS	915	ldcA	3.4.17.13	COG1619	Murein tetrapeptide carboxypeptidase
HOLFJHIJ_00028	CDS	1734	cvrA		COG3263	K(+)/H(+) antiporter NhaP2
HOLFJHIJ_00029	CDS	1071	dadX	5.1.1.1	COG0787	Alanine racemase, catabolic
HOLFJHIJ_00030	CDS	1299	dadA_1	1.4.99.-		D-amino acid dehydrogenase
HOLFJHIJ_00031	CDS	1533				hypothetical protein
HOLFJHIJ_00032	CDS	720	fadR		COG2186	Fatty acid metabolism regulator protein
HOLFJHIJ_00033	CDS	1551	nhaB		COG3067	Na(+)/H(+) antiporter NhaB
HOLFJHIJ_00034	CDS	531	dsbB		COG1495	Disulfide bond formation protein B
HOLFJHIJ_00035	CDS	345	yeaR_1		COG3615	putative protein YeaR
HOLFJHIJ_00036	CDS	447				hypothetical protein
HOLFJHIJ_00037	CDS	660	ycgM	5.3.2.2	COG0179	Oxaloacetate tautomerase YcgM
HOLFJHIJ_00038	CDS	282	ycgL		COG3100	Protein YcgL
HOLFJHIJ_00039	CDS	699	minC			Septum site-determining protein MinC
HOLFJHIJ_00040	CDS	813	minD		COG2894	Septum site-determining protein MinD
HOLFJHIJ_00041	CDS	270	minE		COG0851	Cell division topological specificity factor
HOLFJHIJ_00042	CDS	1116	rnd	3.1.13.5	COG0349	Ribonuclease D
HOLFJHIJ_00043	CDS	1719	fadD	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
HOLFJHIJ_00044	CDS	582	slp		COG3065	Outer membrane protein Slp
HOLFJHIJ_00045	CDS	696	tsaB		COG1214	tRNA threonylcarbamoyladenosine biosynthesis protein TsaB
HOLFJHIJ_00046	CDS	1911	yoaA	5.6.2.3	COG1199	ATP-dependent DNA helicase YoaA
HOLFJHIJ_00047	CDS	345	ridA_1	3.5.99.10	COG0251	2-iminobutanoate/2-iminopropanoate deaminase
HOLFJHIJ_00048	CDS	186				hypothetical protein
HOLFJHIJ_00049	CDS	1356	pabB	2.6.1.85	COG0147	Aminodeoxychorismate synthase component 1
HOLFJHIJ_00050	CDS	579		3.6.1.77	COG0494	Nudix hydrolase
HOLFJHIJ_00051	CDS	1365	sdaA	4.3.1.17	COG1760	L-serine dehydratase 1
HOLFJHIJ_00052	CDS	1608	pdeD	3.1.4.52	COG2200	putative cyclic di-GMP phosphodiesterase PdeD
HOLFJHIJ_00053	CDS	351				hypothetical protein
