locus_tag	ftype	length_bp	gene	EC_number	COG	product
PGEOLOLO_00001	rRNA	1540				16S ribosomal RNA
PGEOLOLO_00002	tRNA	77				tRNA-Ile(gat)
PGEOLOLO_00003	tRNA	76				tRNA-Ala(tgc)
PGEOLOLO_00004	rRNA	2902				23S ribosomal RNA
PGEOLOLO_00005	rRNA	116				5S ribosomal RNA
PGEOLOLO_00006	tRNA	77				tRNA-Asp(gtc)
PGEOLOLO_00007	tRNA	76				tRNA-Trp(cca)
PGEOLOLO_00008	CDS	822	hdfR_1			HTH-type transcriptional regulator HdfR
PGEOLOLO_00009	CDS	339	maoP		COG3085	Macrodomain Ori protein
PGEOLOLO_00010	CDS	1521	comM		COG0606	Competence protein ComM
PGEOLOLO_00011	CDS	1647	ilvG	2.2.1.6		Acetolactate synthase isozyme 2 large subunit
PGEOLOLO_00012	CDS	258	ilvM	2.2.1.6	COG3978	Acetolactate synthase isozyme 2 small subunit
PGEOLOLO_00013	CDS	930	ilvE	2.6.1.42		Branched-chain-amino-acid aminotransferase
PGEOLOLO_00014	CDS	1851	ilvD	4.2.1.9	COG0129	Dihydroxy-acid dehydratase
PGEOLOLO_00015	CDS	1545	ilvA	4.3.1.19	COG1171	L-threonine dehydratase biosynthetic IlvA
PGEOLOLO_00016	CDS	891	oxyR_1		COG0583	DNA-binding transcriptional dual regulator OxyR
PGEOLOLO_00017	CDS	1476	ilvC	1.1.1.86		Ketol-acid reductoisomerase (NADP(+))
PGEOLOLO_00018	CDS	282	ppiC_1	5.2.1.8	COG0760	Peptidyl-prolyl cis-trans isomerase C
PGEOLOLO_00019	CDS	282	ppiC_2	5.2.1.8	COG0760	Peptidyl-prolyl cis-trans isomerase C
PGEOLOLO_00020	CDS	2022	rep	5.6.2.4	COG0210	ATP-dependent DNA helicase Rep
PGEOLOLO_00021	CDS	723	ydfK_1		COG1811	putative membrane protein YdfK
PGEOLOLO_00022	CDS	999	graF	4.1.1.103		Gamma-resorcylate decarboxylase
PGEOLOLO_00023	CDS	927	pcpR_1		COG0583	PCP degradation transcriptional activation protein
PGEOLOLO_00024	CDS	1509	gppA	3.6.1.40	COG0248	Guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase
PGEOLOLO_00025	CDS	1266	rhlB	3.6.4.13	COG0513	ATP-dependent RNA helicase RhlB
PGEOLOLO_00026	CDS	330	trxA_1		COG3118	Thioredoxin 1
PGEOLOLO_00027	CDS	1260	rho	3.6.4.-	COG1158	Transcription termination factor Rho
PGEOLOLO_00028	CDS	1104	wecA	2.7.8.33	COG0472	Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase
PGEOLOLO_00029	CDS	1017	wzzE		COG3765	ECA polysaccharide chain length modulation protein
