locus_tag	ftype	length_bp	gene	EC_number	COG	product
JLBILKMH_00001	CDS	1335	dnaA_1	3.6.4.-	COG0593	Chromosomal replication initiator protein DnaA
JLBILKMH_00002	CDS	1101	dnaN		COG0592	Beta sliding clamp
JLBILKMH_00003	CDS	1074	recF		COG1195	DNA replication and repair protein RecF
JLBILKMH_00004	CDS	2415	gyrB			DNA topoisomerase (ATP-hydrolyzing) subunit B GyrB
JLBILKMH_00005	CDS	813	yidA	3.1.3.23	COG0561	Sugar phosphatase YidA
JLBILKMH_00006	CDS	1062				hypothetical protein
JLBILKMH_00007	CDS	1134				hypothetical protein
JLBILKMH_00008	CDS	690	dgoR_1		COG2186	Galactonate operon transcriptional repressor
JLBILKMH_00009	CDS	879	dgoK_1	2.7.1.58	COG3734	2-dehydro-3-deoxygalactonokinase
JLBILKMH_00010	CDS	618	dgoA_1	4.1.2.21	COG0800	2-dehydro-3-deoxy-6-phosphogalactonate aldolase
JLBILKMH_00011	CDS	663	dgoD_1	4.2.1.6	COG4948	D-galactonate dehydratase
JLBILKMH_00012	CDS	981			COG3039	IS5 family transposase ISKpn26
JLBILKMH_00013	CDS	603	dgoD_2	4.2.1.6	COG4948	D-galactonate dehydratase
JLBILKMH_00014	CDS	1293	dgoT_1		COG2271	D-galactonate transporter
JLBILKMH_00015	CDS	1221				hypothetical protein
JLBILKMH_00016	CDS	333				hypothetical protein
JLBILKMH_00017	CDS	414	ibpA		COG0071	Small heat shock protein IbpA
JLBILKMH_00018	CDS	429	ibpB_1		COG0071	Small heat shock protein IbpB
JLBILKMH_00019	CDS	825				hypothetical protein
JLBILKMH_00020	CDS	1662	aspT_1			Aspartate/alanine antiporter
JLBILKMH_00021	CDS	723	mngR_1		COG2188	Mannosyl-D-glycerate transport/metabolism system repressor MngR
JLBILKMH_00022	CDS	1623	malP_1		COG1263	PTS system maltose-specific EIICB component
JLBILKMH_00023	CDS	1323	aglB	3.2.1.122		6-phospho-alpha-glucosidase
JLBILKMH_00024	CDS	348	yidH		COG2149	Inner membrane protein YidH
JLBILKMH_00025	CDS	363	yidG			Inner membrane protein YidG
JLBILKMH_00026	CDS	501				hypothetical protein
JLBILKMH_00027	CDS	1329	dsdA	4.3.1.18	COG3048	D-serine dehydratase
JLBILKMH_00028	CDS	1338	dsdX		COG2610	D-serine transporter DsdX
JLBILKMH_00029	CDS	924	dsdC_1		COG0583	HTH-type transcriptional regulator DsdC
JLBILKMH_00030	CDS	1185	emrD		COG2814	Multidrug resistance protein D
JLBILKMH_00031	CDS	834				hypothetical protein
JLBILKMH_00032	CDS	447				hypothetical protein
