qseqid	sseqid	qlen	slen	qstart	qend	sstart	send	length	mismatch	pident	qcovhsp	qcovs	sstrand	evalue	bitscore	biomarker
000562__KT346360_00001|rep_cluster_1254	JBVQRX010000002.1 Klebsiella pneumoniae strain KK45 plasmid pKK45_1, whole genome shotgun sequence	930	294305	176	930	11542	12296	755	72	90.464	81.0	81.0	plus	0.0	996	replicon
JN420336|IncHI1B	JBVQRX010000002.1 Klebsiella pneumoniae strain KK45 plasmid pKK45_1, whole genome shotgun sequence	570	294305	1	570	32247	32816	570	0	100.0	100.0	100.0	minus	0.0	1053	replicon
CP024497_00001|IncFIB	JBVQRX010000002.1 Klebsiella pneumoniae strain KK45 plasmid pKK45_1, whole genome shotgun sequence	1089	294305	1	1089	135614	136702	1090	72	93.211	100.0	100.0	plus	0.0	1602	replicon
000132__HG969996|IncFII	JBVQRX010000003.1 Klebsiella pneumoniae strain KK45 plasmid pKK45_2, whole genome shotgun sequence	235	164117	1	235	57867	58101	235	1	99.574	100.0	100.0	minus	6.41e-121	429	replicon
CP017721_00179|rep_cluster_2183	JBVQRX010000003.1 Klebsiella pneumoniae strain KK45 plasmid pKK45_2, whole genome shotgun sequence	864	164117	37	864	58136	58963	830	146	81.928	96.0	96.0	plus	0.0	699	replicon
000107__CP014778_00094|IncFIB	JBVQRX010000003.1 Klebsiella pneumoniae strain KK45 plasmid pKK45_2, whole genome shotgun sequence	1011	164117	1	1011	152016	153026	1011	98	90.307	100.0	100.0	minus	0.0	1325	replicon
000759__NC_013950_00034|rep_cluster_1418	JBVQRX010000004.1 Klebsiella pneumoniae strain KK45 plasmid pKK45_3, whole genome shotgun sequence	876	61963	1	876	15755	16630	876	7	99.201	100.0	100.0	plus	0.0	1580	replicon
JN626286|IncL/M	JBVQRX010000005.1 Klebsiella pneumoniae strain KK45 plasmid pKK45_4, whole genome shotgun sequence	661	63589	1	661	28482	29142	661	0	100.0	100.0	100.0	plus	0.0	1221	replicon
000003__NC_002119_00001|ColRNAI_rep_cluster_1857	JBVQRX010000006.1 Klebsiella pneumoniae strain KK45 plasmid pKK45_5, whole genome shotgun sequence	582	19010	1	582	8299	8880	582	8	98.625	100.0	100.0	plus	0.0	1031	replicon
000003__NC_002119_00001|ColRNAI_rep_cluster_1857	JBVQRX010000006.1 Klebsiella pneumoniae strain KK45 plasmid pKK45_5, whole genome shotgun sequence	582	19010	1	582	17850	18430	582	9	98.282	100.0	100.0	plus	0.0	1018	replicon
000100__NZ_CP016161_00012|IncFIB	JBVQRX010000007.1 Klebsiella pneumoniae strain KK45 plasmid pKK45_6, whole genome shotgun sequence	1218	111693	1	1218	48826	50043	1218	21	98.276	100.0	100.0	minus	0.0	2134	replicon
NC_016980_00239|MOBH	JBVQRX010000002.1 Klebsiella pneumoniae strain KK45 plasmid pKK45_1, whole genome shotgun sequence	982	294305	1	982	215852	218797	982	0	100.0	100.0	100.0	minus	0.0	1949	relaxase
CP035180_00077|MOBF	JBVQRX010000003.1 Klebsiella pneumoniae strain KK45 plasmid pKK45_2, whole genome shotgun sequence	687	164117	1	251	44731	45483	251	6	97.61	37.0	98.0	plus	0.0	402	relaxase
NC_021231_00058|MOBF	JBVQRX010000003.1 Klebsiella pneumoniae strain KK45 plasmid pKK45_2, whole genome shotgun sequence	1753	164117	1	1753	45495	50753	1753	32	98.175	100.0	100.0	plus	0.0	3370	relaxase
NC_004464_00056|MOBP	JBVQRX010000005.1 Klebsiella pneumoniae strain KK45 plasmid pKK45_4, whole genome shotgun sequence	659	63589	1	659	6033	8009	659	2	99.697	100.0	100.0	plus	0.0	1378	relaxase
NC_009793_00003|MOBC	JBVQRX010000006.1 Klebsiella pneumoniae strain KK45 plasmid pKK45_5, whole genome shotgun sequence	243	19010	1	243	4810	5538	243	10	95.885	100.0	100.0	minus	3.26e-147	452	relaxase
NC_009793_00003|MOBC	JBVQRX010000006.1 Klebsiella pneumoniae strain KK45 plasmid pKK45_5, whole genome shotgun sequence	243	19010	1	243	14540	15268	243	10	95.885	100.0	100.0	minus	3.26e-147	452	relaxase
NC_010726_00014|MPF_T	CM146773.1 Klebsiella pneumoniae strain KK45 chromosome, complete sequence, whole genome shotgun sequence	301	5332862	1	301	5073513	5074415	301	3	99.003	100.0	100.0	minus	0.0	617	mate-pair-formation
NC_005814_00013|MPF_T	CM146773.1 Klebsiella pneumoniae strain KK45 chromosome, complete sequence, whole genome shotgun sequence	227	5332862	1	227	5074418	5075098	227	3	98.678	100.0	100.0	minus	1.9e-132	409	mate-pair-formation
NC_010726_00011|MPF_T	CM146773.1 Klebsiella pneumoniae strain KK45 chromosome, complete sequence, whole genome shotgun sequence	358	5332862	5	358	5075323	5076384	354	45	87.288	99.0	99.0	minus	2.78e-175	538	mate-pair-formation
NC_013284_00016|MPF_T	CM146773.1 Klebsiella pneumoniae strain KK45 chromosome, complete sequence, whole genome shotgun sequence	914	5332862	1	914	5077375	5080110	914	81	90.919	100.0	100.0	minus	0.0	1727	mate-pair-formation
NC_016980_00110|MPF_F	JBVQRX010000002.1 Klebsiella pneumoniae strain KK45 plasmid pKK45_1, whole genome shotgun sequence	345	294305	1	345	66338	67372	345	0	100.0	100.0	100.0	minus	0.0	718	mate-pair-formation
NC_016980_00109|MPF_F	JBVQRX010000002.1 Klebsiella pneumoniae strain KK45 plasmid pKK45_1, whole genome shotgun sequence	453	294305	1	453	67372	68730	453	0	100.0	100.0	100.0	minus	0.0	939	mate-pair-formation
NC_016980_00099|MPF_T	JBVQRX010000002.1 Klebsiella pneumoniae strain KK45 plasmid pKK45_1, whole genome shotgun sequence	905	294305	1	905	79432	82146	905	0	100.0	100.0	100.0	minus	0.0	1846	mate-pair-formation
NC_018107_00235|MPF_F	JBVQRX010000002.1 Klebsiella pneumoniae strain KK45 plasmid pKK45_1, whole genome shotgun sequence	389	294305	1	389	86106	87272	389	26	93.316	100.0	100.0	minus	0.0	709	mate-pair-formation
