qseqid	sseqid	qlen	slen	qstart	qend	sstart	send	length	mismatch	pident	qcovhsp	qcovs	sstrand	evalue	bitscore	biomarker
000107__CP014778_00094|IncFIB	JBYMLM010000002.1 Klebsiella pneumoniae isolate C8092 plasmid pC8092_1 C8092_plasmid_1, whole genome shotgun sequence	1011	219971	1	1011	1	1011	1011	4	99.604	100.0	100.0	plus	0.0	1845	replicon
JN420336|IncHI1B	JBYMLM010000002.1 Klebsiella pneumoniae isolate C8092 plasmid pC8092_1 C8092_plasmid_1, whole genome shotgun sequence	570	219971	98	570	202021	202493	473	4	99.154	83.0	83.0	minus	0.0	852	replicon
MH263653_00001|IncFIA	JBYMLM010000003.1 Klebsiella pneumoniae isolate C8092 plasmid pC8092_2 C8092_plasmid_2, whole genome shotgun sequence	756	98143	1	756	103	858	756	0	100.0	100.0	100.0	plus	0.0	1397	replicon
000210__KF623109_00045|IncU	JBYMLM010000003.1 Klebsiella pneumoniae isolate C8092 plasmid pC8092_2 C8092_plasmid_2, whole genome shotgun sequence	561	98143	1	561	29630	30190	561	0	100.0	100.0	100.0	minus	0.0	1037	replicon
000204__CP008701_00115|IncR	JBYMLM010000003.1 Klebsiella pneumoniae isolate C8092 plasmid pC8092_2 C8092_plasmid_2, whole genome shotgun sequence	894	98143	1	894	57815	58710	896	11	98.549	100.0	100.0	plus	0.0	1581	replicon
JN232517|IncFII	JBYMLM010000003.1 Klebsiella pneumoniae isolate C8092 plasmid pC8092_2 C8092_plasmid_2, whole genome shotgun sequence	260	98143	4	260	97887	98143	257	0	100.0	99.0	99.0	minus	8.69e-135	475	replicon
000119__MF133496_00001|IncFII	JBYMLM010000004.1 Klebsiella pneumoniae isolate C8092 plasmid pC8092_3 C8092_plasmid_3, whole genome shotgun sequence	627	70869	1	627	35674	36300	627	0	100.0	100.0	100.0	minus	0.0	1158	replicon
JX133088|ColpVC	JBYMLM010000005.1 Klebsiella pneumoniae isolate C8092 plasmid pC8092_4 C8092_plasmid_4, whole genome shotgun sequence	193	2058	1	193	1327	1519	193	3	98.446	100.0	100.0	plus	2.38e-94	340	replicon
NC_011980_00044|MOBF	JBYMLM010000003.1 Klebsiella pneumoniae isolate C8092 plasmid pC8092_2 C8092_plasmid_2, whole genome shotgun sequence	627	98143	87	590	20232	21743	504	14	97.222	80.0	86.0	plus	0.0	974	relaxase
NC_021198_00256|MOBP	JBYMLM010000004.1 Klebsiella pneumoniae isolate C8092 plasmid pC8092_3 C8092_plasmid_3, whole genome shotgun sequence	642	70869	1	642	68672	70597	642	30	95.327	100.0	100.0	minus	0.0	1219	relaxase
