locus_tag	ftype	length_bp	gene	EC_number	COG	product
FPEEIIMM_00001	rRNA	1540				16S ribosomal RNA
FPEEIIMM_00002	tRNA	76				tRNA-Glu(ttc)
FPEEIIMM_00003	rRNA	2902				23S ribosomal RNA
FPEEIIMM_00004	rRNA	116				5S ribosomal RNA
FPEEIIMM_00005	CDS	507	mobB		COG1763	Molybdopterin-guanine dinucleotide biosynthesis adapter protein
FPEEIIMM_00006	CDS	582	mobA	2.7.7.77	COG0746	Molybdenum cofactor guanylyltransferase
FPEEIIMM_00007	CDS	270	yihD		COG3084	Protein YihD
FPEEIIMM_00008	CDS	987	srkA	2.7.11.1	COG2334	Stress response kinase A
FPEEIIMM_00009	CDS	624	dsbA_1			Thiol:disulfide interchange protein DsbA
FPEEIIMM_00010	CDS	900	yihG	2.3.1.51	COG0204	1-acylglycerol-3-phosphate O-acyltransferase YihG
FPEEIIMM_00011	CDS	2793	polA	2.7.7.7	COG0258	DNA polymerase I
FPEEIIMM_00012	CDS	633	engB			putative GTP-binding protein EngB
FPEEIIMM_00013	CDS	507	yihI		COG3078	Der GTPase-activating protein YihI
FPEEIIMM_00014	CDS	1374	hemN	1.3.98.3	COG0635	Oxygen-independent coproporphyrinogen III oxidase
FPEEIIMM_00015	CDS	1410	ntrC			DNA-binding transcriptional regulator NtrC
FPEEIIMM_00016	CDS	1050	glnL	2.7.13.3	COG3852	Sensory histidine kinase/phosphatase NtrB
FPEEIIMM_00017	CDS	1410	glnA	6.3.1.2	COG0174	Glutamine synthetase
FPEEIIMM_00018	CDS	1824	bipA	3.6.5.-		Large ribosomal subunit assembly factor BipA
FPEEIIMM_00019	CDS	600	yihX	3.1.3.10	COG1011	Alpha-D-glucose 1-phosphate phosphatase YihX
FPEEIIMM_00020	CDS	861				hypothetical protein
FPEEIIMM_00021	CDS	438	dtd	3.1.1.96	COG1490	D-aminoacyl-tRNA deacylase
FPEEIIMM_00022	CDS	942	fabY	2.3.1.-	COG0456	putative acyltransferase FabY
FPEEIIMM_00023	CDS	918	nlhH	3.1.1.1	COG0657	Carboxylesterase NlhH
FPEEIIMM_00024	CDS	249				hypothetical protein
FPEEIIMM_00025	CDS	384	vapC_1	3.1.-.-		tRNA(fMet)-specific endonuclease VapC
