locus_tag	ftype	length_bp	gene	EC_number	COG	product
EGDJDACD_00001	rRNA	116				5S ribosomal RNA
EGDJDACD_00002	rRNA	2902				23S ribosomal RNA
EGDJDACD_00003	tRNA	76				tRNA-Ala(tgc)
EGDJDACD_00004	tRNA	77				tRNA-Ile(gat)
EGDJDACD_00005	rRNA	1540				16S ribosomal RNA
EGDJDACD_00006	CDS	567	gmhB	3.1.3.82	COG0241	D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase
EGDJDACD_00007	CDS	1032	metN_1	7.4.2.11	COG1135	Methionine import ATP-binding protein MetN
EGDJDACD_00008	CDS	654	metI_1		COG2011	D-methionine transport system permease protein MetI
EGDJDACD_00009	CDS	816	metQ_1		COG1464	D-methionine-binding lipoprotein MetQ
EGDJDACD_00010	CDS	408	rcsF			Outer membrane lipoprotein RcsF
EGDJDACD_00011	CDS	708	trmO	2.1.1.-	COG1720	tRNA (adenine(37)-N6)-methyltransferase
EGDJDACD_00012	CDS	1719	proS_1	6.1.1.15	COG0442	Proline--tRNA ligase
EGDJDACD_00013	CDS	843				hypothetical protein
EGDJDACD_00014	CDS	699	nlpE		COG3015	Lipoprotein NlpE
EGDJDACD_00015	CDS	414	arfB	3.1.1.29	COG1186	Peptidyl-tRNA hydrolase ArfB
EGDJDACD_00016	CDS	546	yaeQ		COG4681	putative protein YaeQ
EGDJDACD_00017	CDS	201				hypothetical protein
EGDJDACD_00018	CDS	261	rof		COG4568	Protein rof
EGDJDACD_00019	CDS	1314	tilS	6.3.4.19	COG0037	tRNA(Ile)-lysidine synthase
EGDJDACD_00020	CDS	390				hypothetical protein
EGDJDACD_00021	CDS	2190	ldcC	4.1.1.18	COG1982	Constitutive lysine decarboxylase
EGDJDACD_00022	CDS	960	accA	2.1.3.15	COG0825	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha
EGDJDACD_00023	CDS	3483	dnaE	2.7.7.7	COG0587	DNA polymerase III subunit alpha
EGDJDACD_00024	CDS	600	rnhB	3.1.26.4	COG0164	Ribonuclease HII
EGDJDACD_00025	CDS	1152	lpxB	2.4.1.182	COG0763	Lipid-A-disaccharide synthase
EGDJDACD_00026	CDS	789	lpxA	2.3.1.129	COG1043	Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase
EGDJDACD_00027	CDS	456	fabZ	4.2.1.59	COG0764	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ
EGDJDACD_00028	CDS	1026	lpxD	2.3.1.191		UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase
EGDJDACD_00029	CDS	486	skp			Chaperone protein Skp
EGDJDACD_00030	CDS	2430	bamA_1		COG4775	Outer membrane protein assembly factor BamA
EGDJDACD_00031	CDS	1353	rseP	3.4.24.-	COG0750	Regulator of sigma-E protease RseP
EGDJDACD_00032	CDS	783	cdsA	2.7.7.41	COG0575	Phosphatidate cytidylyltransferase
EGDJDACD_00033	CDS	762	uppS	2.5.1.31	COG0020	Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)
EGDJDACD_00034	CDS	1203	dxr	1.1.1.267	COG0743	1-deoxy-D-xylulose 5-phosphate reductoisomerase
EGDJDACD_00035	CDS	558	frr		COG0233	Ribosome-recycling factor
EGDJDACD_00036	CDS	726	pyrH	2.7.4.22		Uridylate kinase
EGDJDACD_00037	CDS	852	tsf		COG0264	Elongation factor Ts
EGDJDACD_00038	CDS	726	rpsB		COG0052	Small ribosomal subunit protein uS2
EGDJDACD_00039	CDS	795	map_1	3.4.11.18	COG0024	Methionine aminopeptidase
EGDJDACD_00040	CDS	2664	glnD		COG2844	Bifunctional uridylyltransferase/uridylyl-removing enzyme
EGDJDACD_00041	CDS	825	dapD	2.3.1.117	COG2171	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
EGDJDACD_00042	CDS	387				hypothetical protein
EGDJDACD_00043	CDS	1212	cdaR_1		COG3835	Carbohydrate diacid regulator
EGDJDACD_00044	CDS	1434	degP	3.4.21.107	COG0265	Periplasmic serine endoprotease DegP
EGDJDACD_00045	CDS	1515	dgt	3.1.5.1	COG0232	Deoxyguanosinetriphosphate triphosphohydrolase
EGDJDACD_00046	CDS	699	mtnN	3.2.2.9		5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
EGDJDACD_00047	CDS	801	btuF_1		COG0614	Vitamin B12-binding protein
EGDJDACD_00048	CDS	624				hypothetical protein
EGDJDACD_00049	CDS	345	erpA		COG0316	Iron-sulfur cluster insertion protein ErpA
EGDJDACD_00050	CDS	1512	clcA			H(+)/Cl(-) exchange transporter ClcA
EGDJDACD_00051	CDS	1281	hemL	5.4.3.8	COG0001	Glutamate-1-semialdehyde 2,1-aminomutase
EGDJDACD_00052	CDS	1983	fhuB			Iron(3+)-hydroxamate import system permease protein FhuB
EGDJDACD_00053	CDS	891	fhuD		COG0614	Iron(3+)-hydroxamate-binding protein FhuD
EGDJDACD_00054	CDS	798	fhuC_1	7.2.2.16	COG1120	Iron(3+)-hydroxamate import ATP-binding protein FhuC
EGDJDACD_00055	CDS	2208	fhuA_1		COG4774	Ferrichrome outer membrane transporter/phage receptor
EGDJDACD_00056	CDS	2553	mrcB		COG0744	Penicillin-binding protein 1B
EGDJDACD_00057	CDS	558				hypothetical protein
EGDJDACD_00058	CDS	3309	pulA	3.2.1.41		Pullulanase
EGDJDACD_00059	CDS	843	outC		COG3031	Type II secretion system protein C
EGDJDACD_00060	CDS	1974	etpD			variant type II secretion system secretin EtpD
EGDJDACD_00061	CDS	1494	outE	7.4.2.8		Type II secretion system protein E
EGDJDACD_00062	CDS	1215	outF			Type II secretion system protein F
EGDJDACD_00063	CDS	423	pulG			Type II secretion system core protein G
EGDJDACD_00064	CDS	516	pulH			Type II secretion system protein H
EGDJDACD_00065	CDS	366	pulI			Type II secretion system protein I
EGDJDACD_00066	CDS	597	pulJ			Type II secretion system protein J
EGDJDACD_00067	CDS	987	gspK		COG3156	Putative type II secretion system protein K
EGDJDACD_00068	CDS	1215	pulL			Type II secretion system protein L
EGDJDACD_00069	CDS	486	pulM			Type II secretion system protein M
EGDJDACD_00070	CDS	747	outN			Type II secretion system protein N
EGDJDACD_00071	CDS	801	outO			Prepilin leader peptidase/N-methyltransferase
EGDJDACD_00072	CDS	2430	hrpB	3.6.4.13	COG1643	ATP-dependent RNA helicase HrpB
EGDJDACD_00073	CDS	537	thpR	3.1.4.58	COG1514	RNA 2',3'-cyclic phosphodiesterase
EGDJDACD_00074	CDS	717	sfsA		COG1489	Sugar fermentation stimulation protein A
EGDJDACD_00075	CDS	456	dksA		COG1734	RNA polymerase-binding transcription factor DksA
EGDJDACD_00076	CDS	882	gluQ	6.1.1.-	COG0008	Glutamyl-Q tRNA(Asp) synthetase
EGDJDACD_00077	CDS	1362	pcnB	2.7.7.19	COG0617	Poly(A) polymerase I
EGDJDACD_00078	CDS	480	folK	2.7.6.3	COG0801	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase
EGDJDACD_00079	CDS	792	panB	2.1.2.11	COG0413	3-methyl-2-oxobutanoate hydroxymethyltransferase
EGDJDACD_00080	CDS	855	panC	6.3.2.1		Pantothenate synthetase
EGDJDACD_00081	CDS	381	panD	4.1.1.11	COG0853	Aspartate 1-decarboxylase
EGDJDACD_00082	CDS	1254				hypothetical protein
EGDJDACD_00083	CDS	441				hypothetical protein
EGDJDACD_00084	CDS	771	yadH		COG0842	Inner membrane transport permease YadH
EGDJDACD_00085	CDS	927	yadG		COG1131	putative ABC transporter ATP-binding protein YadG
EGDJDACD_00086	CDS	663	can_1	4.2.1.1	COG0288	Carbonic anhydrase 2
EGDJDACD_00087	CDS	537	hpt	2.4.2.8	COG0634	Hypoxanthine phosphoribosyltransferase
EGDJDACD_00088	CDS	2391	gcd	1.1.5.2	COG4993	Quinoprotein glucose dehydrogenase
EGDJDACD_00089	CDS	1599	cueO	1.16.3.4	COG2132	Multicopper oxidase CueO
EGDJDACD_00090	CDS	360				hypothetical protein
EGDJDACD_00091	CDS	411				hypothetical protein
EGDJDACD_00092	CDS	2196	smc_1			Chromosome partition protein Smc
EGDJDACD_00093	CDS	861	speE	2.5.1.-	COG0421	Polyamine aminopropyltransferase
EGDJDACD_00094	CDS	795	speD	4.1.1.50	COG1586	S-adenosylmethionine decarboxylase proenzyme
EGDJDACD_00095	CDS	363				hypothetical protein
EGDJDACD_00096	CDS	2598	acnB	4.2.1.3		Aconitate hydratase B
EGDJDACD_00097	CDS	1608				hypothetical protein
EGDJDACD_00098	CDS	807				hypothetical protein
EGDJDACD_00099	CDS	285				hypothetical protein
EGDJDACD_00100	CDS	1425	lpdA	1.8.1.4	COG1249	Dihydrolipoyl dehydrogenase
EGDJDACD_00101	CDS	1899	aceF	2.3.1.12	COG0508	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
EGDJDACD_00102	CDS	2664	aceE	1.2.4.1	COG2609	Pyruvate dehydrogenase E1 component
EGDJDACD_00103	CDS	780	pdhR		COG2186	Pyruvate dehydrogenase complex repressor
EGDJDACD_00104	CDS	1371	aroP_1		COG1113	Aromatic amino acid transport protein AroP
EGDJDACD_00105	CDS	1407	yicJ_1		COG2211	Inner membrane symporter YicJ
EGDJDACD_00106	CDS	951		3.2.1.55	COG3940	Extracellular exo-alpha-(1->5)-L-arabinofuranosidase
EGDJDACD_00107	CDS	855	ampE		COG3725	Protein AmpE
EGDJDACD_00108	CDS	564	ampD	3.5.1.28	COG3023	1,6-anhydro-N-acetylmuramyl-L-alanine amidase AmpD
EGDJDACD_00109	CDS	894	nadC	2.4.2.19		Nicotinate-nucleotide pyrophosphorylase [carboxylating]
EGDJDACD_00110	CDS	432	ppdD		COG4969	Prepilin peptidase-dependent protein D
EGDJDACD_00111	CDS	1386	pilB		COG2804	Type IV pilus assembly ATPase PilB
EGDJDACD_00112	CDS	1206	pilC			Type IV pilus assembly protein PilC
EGDJDACD_00113	CDS	1044	guaC	1.7.1.7	COG0516	GMP reductase
EGDJDACD_00114	CDS	621	coaE	2.7.1.24	COG0237	Dephospho-CoA kinase
EGDJDACD_00115	CDS	744	zapD			Cell division protein ZapD
EGDJDACD_00116	CDS	195	yacG		COG3024	DNA gyrase inhibitor YacG
EGDJDACD_00117	CDS	393	mutT	3.6.1.55	COG0494	8-oxo-dGTP diphosphatase
EGDJDACD_00118	CDS	609	secA_1	7.4.2.8	COG0653	Protein translocase subunit SecA
EGDJDACD_00119	CDS	2130	secA_2	7.4.2.8	COG0653	Protein translocase subunit SecA
EGDJDACD_00120	CDS	498	secM			Secretion monitor
EGDJDACD_00121	CDS	918	lpxC	3.5.1.108	COG0774	UDP-3-O-acyl-N-acetylglucosamine deacetylase
EGDJDACD_00122	CDS	1152	ftsZ		COG0206	Cell division protein FtsZ
EGDJDACD_00123	CDS	1263	ftsA		COG0849	Cell division protein FtsA
EGDJDACD_00124	CDS	831	ftsQ			Cell division protein FtsQ
EGDJDACD_00125	CDS	921	ddlB	6.3.2.4	COG1181	D-alanine--D-alanine ligase B
EGDJDACD_00126	CDS	1476	murC	6.3.2.8	COG0773	UDP-N-acetylmuramate--L-alanine ligase
EGDJDACD_00127	CDS	1047	murG	2.4.1.227	COG0707	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
EGDJDACD_00128	CDS	1275	ftsW	2.4.99.28	COG0772	putative peptidoglycan glycosyltransferase FtsW
EGDJDACD_00129	CDS	1317	murD	6.3.2.9	COG0771	UDP-N-acetylmuramoylalanine--D-glutamate ligase
EGDJDACD_00130	CDS	1083	mraY	2.7.8.13	COG0472	Phospho-N-acetylmuramoyl-pentapeptide-transferase
EGDJDACD_00131	CDS	1359	murF	6.3.2.10	COG0770	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
EGDJDACD_00132	CDS	1488	murE	6.3.2.13	COG0769	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase
EGDJDACD_00133	CDS	1767	ftsI_1			penicillin-binding protein PBP3 FtsI
EGDJDACD_00134	CDS	366	ftsL		COG3116	Cell division protein FtsL
EGDJDACD_00135	CDS	942	rsmH	2.1.1.199	COG0275	Ribosomal RNA small subunit methyltransferase H
EGDJDACD_00136	CDS	459	mraZ		COG2001	Transcriptional regulator MraZ
EGDJDACD_00137	CDS	1005	cra		COG1609	Catabolite repressor/activator
EGDJDACD_00138	CDS	492	ilvH	2.2.1.6	COG0440	Acetolactate synthase isozyme 3 small subunit
EGDJDACD_00139	CDS	1725	ilvI	2.2.1.6	COG0028	Acetolactate synthase isozyme 3 large subunit
EGDJDACD_00140	CDS	951	leuO		COG0583	HTH-type transcriptional regulator LeuO
EGDJDACD_00141	CDS	1572	leuA_1	2.3.3.13		2-isopropylmalate synthase
EGDJDACD_00142	CDS	1092	leuB	1.1.1.85	COG0473	3-isopropylmalate dehydrogenase
EGDJDACD_00143	CDS	1401	leuC	4.2.1.33	COG0065	3-isopropylmalate dehydratase large subunit
EGDJDACD_00144	CDS	606	leuD1	4.2.1.33		3-isopropylmalate dehydratase small subunit 1
EGDJDACD_00145	CDS	2034		1.-.-.-		NADH oxidase
EGDJDACD_00146	CDS	864	aroE_1	1.1.1.25	COG0169	Shikimate dehydrogenase (NADP(+))
EGDJDACD_00147	CDS	1215	ydiM		COG0738	Inner membrane transport protein YdiM
EGDJDACD_00148	CDS	756	aroD	4.2.1.10	COG0710	3-dehydroquinate dehydratase
EGDJDACD_00149	CDS	897	gltC_1		COG0583	Transcriptional dual regulator GltC
EGDJDACD_00150	CDS	1311	gudP_1		COG2271	putative galactarate/D-glucarate transporter GudP
EGDJDACD_00151	CDS	1185	setA		COG2814	Sugar efflux transporter A
EGDJDACD_00152	CDS	153				hypothetical protein
