locus_tag	ftype	length_bp	gene	EC_number	COG	product
DOCONFGL_00001	CDS	1143	yibH_1		COG1566	Inner membrane protein YibH
DOCONFGL_00002	CDS	345	yiaW_1			Inner membrane protein YiaW
DOCONFGL_00003	CDS	768	iprA_1			Inhibitor of hydrogen peroxide resistance
DOCONFGL_00004	CDS	924	scrK	2.7.1.4		Fructokinase
DOCONFGL_00005	CDS	1518	scrY_1			Sucrose porin
DOCONFGL_00006	CDS	1371	sacP_1		COG1263	PTS system sucrose-specific EIIBC component
DOCONFGL_00007	CDS	1401	scrB	3.2.1.26		Sucrose-6-phosphate hydrolase
DOCONFGL_00008	CDS	1005	fruR		COG1609	Fructose operon regulatory protein
DOCONFGL_00009	CDS	609				hypothetical protein
DOCONFGL_00010	CDS	1032	rbsC_1		COG1172	Ribose import permease protein RbsC
DOCONFGL_00011	CDS	1485	mglA_1	7.5.2.11	COG1129	Galactose/methyl galactoside import ATP-binding protein MglA
DOCONFGL_00012	CDS	924	rbsB_1		COG1879	Ribose import binding protein RbsB
DOCONFGL_00013	CDS	1035				hypothetical protein
DOCONFGL_00014	CDS	1008	iolG_1	1.1.1.18	COG0673	Myo-inositol 2-dehydrogenase
DOCONFGL_00015	CDS	1032	iolU_1	1.1.1.371	COG0673	scyllo-inositol 2-dehydrogenase (NADP(+)) IolU
DOCONFGL_00016	CDS	1173	lgdh_1	1.1.1.425	COG0673	Levoglucosan dehydrogenase
DOCONFGL_00017	CDS	921	iolE_1	4.2.1.44	COG1082	Inosose dehydratase
DOCONFGL_00018	CDS	426				hypothetical protein
DOCONFGL_00019	CDS	1518	lysU	6.1.1.6	COG1190	Lysine--tRNA ligase, heat inducible
DOCONFGL_00020	CDS	1476	dtpC		COG3104	Dipeptide and tripeptide permease C
DOCONFGL_00021	CDS	2148	cadA	4.1.1.18	COG1982	Inducible lysine decarboxylase
DOCONFGL_00022	CDS	1335	cadB		COG0531	Cadaverine/lysine antiporter
DOCONFGL_00023	CDS	1569	cadC		COG3710	Transcriptional activator CadC
DOCONFGL_00024	CDS	273				hypothetical protein
DOCONFGL_00025	CDS	921	lpxL_1	2.3.1.241	COG1560	Lipid A biosynthesis lauroyltransferase
DOCONFGL_00026	CDS	867				hypothetical protein
DOCONFGL_00027	CDS	1026				hypothetical protein
DOCONFGL_00028	CDS	2436	htrE_1		COG3188	Outer membrane usher protein HtrE
DOCONFGL_00029	CDS	696	yadV_1		COG3121	putative fimbrial chaperone YadV
DOCONFGL_00030	CDS	561	smf-1		COG3539	Major fimbrial subunit SMF-1
DOCONFGL_00031	CDS	663				hypothetical protein
DOCONFGL_00032	CDS	306				hypothetical protein
DOCONFGL_00033	CDS	1305	gltA_1	2.3.3.16	COG0372	Citrate synthase
DOCONFGL_00034	CDS	171				hypothetical protein
DOCONFGL_00035	CDS	402	hiuH	3.5.2.17	COG2351	5-hydroxyisourate hydrolase
DOCONFGL_00036	tRNA	77				tRNA-Arg(tct)
DOCONFGL_00037	CDS	867	folD		COG0190	Bifunctional protein FolD protein
DOCONFGL_00038	CDS	213	ybcJ		COG2501	Putative RNA-binding protein YbcJ
DOCONFGL_00039	CDS	1386	cysS_1	6.1.1.16	COG0215	Cysteine--tRNA ligase
DOCONFGL_00040	CDS	495	ppiB	5.2.1.8	COG0652	Peptidyl-prolyl cis-trans isomerase B
DOCONFGL_00041	CDS	723	lpxH	3.6.1.54		UDP-2,3-diacylglucosamine hydrolase
DOCONFGL_00042	CDS	339				hypothetical protein
DOCONFGL_00043	CDS	510	purE	5.4.99.18	COG0041	N5-carboxyaminoimidazole ribonucleotide mutase
DOCONFGL_00044	CDS	1068	purK	6.3.4.18	COG0026	N5-carboxyaminoimidazole ribonucleotide synthase
DOCONFGL_00045	CDS	1077	selU	2.9.1.3		tRNA 2-selenouridine synthase
DOCONFGL_00046	CDS	1146				hypothetical protein
DOCONFGL_00047	CDS	2415				hypothetical protein
DOCONFGL_00048	CDS	1182				hypothetical protein
DOCONFGL_00049	CDS	771	capC	1.1.1.-		NADPH-dependent 3-dehydrocapnine reductase
DOCONFGL_00050	CDS	855	cnoX		COG3118	Chaperedoxin
DOCONFGL_00051	CDS	783	fetB		COG0390	putative iron export permease protein FetB
DOCONFGL_00052	CDS	678	fetA	7.2.2.-	COG4619	putative iron export ATP-binding protein FetA
DOCONFGL_00053	CDS	918	qmcA		COG0330	Protein QmcA
DOCONFGL_00054	CDS	459	ybbJ		COG1585	Inner membrane protein YbbJ
DOCONFGL_00055	CDS	411	cueR			HTH-type transcriptional regulator CueR
DOCONFGL_00056	CDS	2502	copA	7.2.2.8		Copper-exporting P-type ATPase
DOCONFGL_00057	CDS	795				hypothetical protein
DOCONFGL_00058	CDS	480	ybaK	4.2.-.-	COG2606	Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK
DOCONFGL_00059	CDS	1653	ushA		COG0737	Protein UshA
DOCONFGL_00060	CDS	1221	fsr		COG2223	Fosmidomycin resistance protein
DOCONFGL_00061	CDS	1677	ybaL		COG1226	Putative cation/proton antiporter YbaL
DOCONFGL_00062	CDS	1305	gsk	2.7.1.73	COG0524	Guanosine-inosine kinase
DOCONFGL_00063	CDS	963	hemH	4.98.1.1	COG0276	Ferrochelatase
DOCONFGL_00064	CDS	645	adk	2.7.4.3	COG0563	Adenylate kinase
DOCONFGL_00065	CDS	1875	htpG		COG0326	Chaperone protein HtpG
DOCONFGL_00066	CDS	606	recR		COG0353	Recombination protein RecR
DOCONFGL_00067	CDS	333	ybaB		COG0718	Nucleoid-associated protein YbaB
DOCONFGL_00068	CDS	1908	dnaX	2.7.7.7	COG2812	DNA polymerase III subunit tau
DOCONFGL_00069	CDS	552	apt	2.4.2.7	COG0503	Adenine phosphoribosyltransferase
DOCONFGL_00070	CDS	378	ybaN		COG2832	Inner membrane protein YbaN
DOCONFGL_00071	CDS	528	priC			Replication restart protein PriC
DOCONFGL_00072	CDS	174				hypothetical protein
DOCONFGL_00073	CDS	900				ISNCY family transposase ISSen7
DOCONFGL_00074	CDS	3348	mscK		COG1196	Mechanosensitive channel MscK
DOCONFGL_00075	CDS	465				hypothetical protein
DOCONFGL_00076	CDS	981			COG3039	IS5 family transposase ISKpn26
DOCONFGL_00077	CDS	1194	acrA		COG0845	Multidrug efflux pump subunit AcrA
DOCONFGL_00078	CDS	3147	acrB_1			multidrug efflux RND transporter permease subunit AcrB
DOCONFGL_00079	CDS	375	tomB			Hha toxicity modulator TomB
DOCONFGL_00080	CDS	219	hha			Hemolysin expression-modulating protein Hha
DOCONFGL_00081	CDS	567	maa	2.3.1.79	COG0110	Maltose O-acetyltransferase
DOCONFGL_00082	CDS	471	ylaC			Inner membrane protein YlaC
DOCONFGL_00083	CDS	1452	gabR_1		COG1167	HTH-type transcriptional regulatory protein GabR
DOCONFGL_00084	CDS	699				hypothetical protein
DOCONFGL_00085	CDS	141	ykgO		COG0257	Large ribosomal subunit protein bL36B
DOCONFGL_00086	CDS	264	rpmE2		COG0254	Large ribosomal subunit protein bL31B
DOCONFGL_00087	CDS	1071	lacI_1		COG1609	Lactose operon repressor
DOCONFGL_00088	CDS	1272	lamB_1			Maltoporin
DOCONFGL_00089	CDS	315				hypothetical protein
DOCONFGL_00090	CDS	2058	bglY	3.2.1.23	COG1874	Beta-galactosidase BglY
DOCONFGL_00091	CDS	1203	ganB	3.2.1.-	COG3867	Endo-beta-1,4-galactanase
DOCONFGL_00092	CDS	852	ganQ		COG3833	Galactooligosaccharides transport system permease protein GanQ
DOCONFGL_00093	CDS	1308	ganP		COG1175	Galactooligosaccharides transport system permease protein GanP
DOCONFGL_00094	CDS	1233	ganS		COG2182	Galactooligosaccharide-binding protein
DOCONFGL_00095	CDS	1110	malK_1	7.5.2.1		Maltose/maltodextrin import ATP-binding protein MalK
DOCONFGL_00096	CDS	1560	pdeB	3.1.4.52	COG4943	putative cyclic di-GMP phosphodiesterase PdeB
DOCONFGL_00097	CDS	273	rcnR		COG1937	Transcriptional repressor RcnR
DOCONFGL_00098	CDS	882	rcnA		COG2215	Nickel/cobalt efflux system RcnA
DOCONFGL_00099	CDS	615				hypothetical protein
DOCONFGL_00100	CDS	1428	norG_1			HTH-type transcriptional regulator NorG
DOCONFGL_00101	CDS	216				hypothetical protein
DOCONFGL_00102	CDS	258				hypothetical protein
DOCONFGL_00103	CDS	408				hypothetical protein
DOCONFGL_00104	CDS	312	atl		COG3695	DNA base-flipping protein
DOCONFGL_00105	CDS	492	ybaY		COG3126	putative lipoprotein YbaY
DOCONFGL_00106	CDS	864	tesB	3.1.2.20	COG1946	Acyl-CoA thioesterase 2
DOCONFGL_00107	CDS	1287	amtB		COG0004	Ammonium transporter AmtB
DOCONFGL_00108	CDS	339	glnK		COG0347	Nitrogen regulatory protein GlnK
DOCONFGL_00109	CDS	1779	smdB			multidrug efflux ABC transporter permease/ATP-binding subunit SmdB
DOCONFGL_00110	CDS	1773	smdA			multidrug efflux ABC transporter permease/ATP-binding subunit SmdA
DOCONFGL_00111	CDS	459	decR_1		COG1522	DNA-binding transcriptional activator DecR
DOCONFGL_00112	CDS	1053	cds1_1	4.4.1.1	COG0031	L-cysteine desulfhydrase Cds1
DOCONFGL_00113	CDS	819	cof	3.6.1.-	COG0561	HMP-PP phosphatase
DOCONFGL_00114	CDS	1701	sgrR_1		COG4533	HTH-type transcriptional regulator SgrR
DOCONFGL_00115	CDS	702	queC	6.3.4.20	COG0603	7-cyano-7-deazaguanine synthase
DOCONFGL_00116	CDS	402	fadM	3.1.2.-	COG0824	Long-chain acyl-CoA thioesterase FadM
DOCONFGL_00117	CDS	369			COG1555	putative protein
DOCONFGL_00118	CDS	1875	ppiD		COG0760	Periplasmic chaperone PpiD
DOCONFGL_00119	CDS	273	hupB		COG0776	DNA-binding protein HU-beta
DOCONFGL_00120	CDS	2355	lon_1			Lon protease
DOCONFGL_00121	CDS	1275	clpX		COG1219	ATP-dependent Clp protease ATP-binding subunit ClpX
DOCONFGL_00122	CDS	624	clpP_1	3.4.21.92	COG0740	ATP-dependent Clp protease proteolytic subunit
DOCONFGL_00123	CDS	1299	tig	5.2.1.8		Trigger factor
DOCONFGL_00124	CDS	315	bolA		COG0271	DNA-binding transcriptional regulator BolA
DOCONFGL_00125	CDS	579				hypothetical protein
DOCONFGL_00126	CDS	1476	ampG		COG2223	Anhydromuropeptide permease
DOCONFGL_00127	CDS	945	cyoA		COG1622	Cytochrome bo(3) ubiquinol oxidase subunit 2
DOCONFGL_00128	CDS	1992	cyoB	7.1.1.3	COG0843	Cytochrome bo(3) ubiquinol oxidase subunit 1
DOCONFGL_00129	CDS	612	cyoC		COG1845	Cytochrome bo(3) ubiquinol oxidase subunit 3
DOCONFGL_00130	CDS	330	cyoD		COG3125	Cytochrome bo(3) ubiquinol oxidase subunit 4
DOCONFGL_00131	CDS	888	cyoE	2.5.1.141	COG0109	Protoheme IX farnesyltransferase
DOCONFGL_00132	CDS	333				hypothetical protein
DOCONFGL_00133	CDS	759	pcaR_1		COG1414	Pca regulon regulatory protein
DOCONFGL_00134	CDS	822	ydiB_1	1.1.1.282	COG0169	Quinate/shikimate dehydrogenase
DOCONFGL_00135	CDS	1677	chcC2_1	1.17.3.-		4-oxocyclohex-2-ene-1-carboxylate 5-dehydrogenase
DOCONFGL_00136	CDS	321				hypothetical protein
DOCONFGL_00137	CDS	1698	chcC2_2	1.17.3.-		4-oxocyclohex-2-ene-1-carboxylate 5-dehydrogenase
DOCONFGL_00138	CDS	819		4.2.1.118		3-dehydroshikimate dehydratase
DOCONFGL_00139	CDS	1365	pcaK_1		COG2814	4-hydroxybenzoate transporter PcaK
DOCONFGL_00140	CDS	1179	iolG_2	1.1.1.369		Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase
DOCONFGL_00141	CDS	1365	yajR		COG2814	Inner membrane transport protein YajR
DOCONFGL_00142	CDS	492	yajQ		COG1666	Nucleotide-binding protein YajQ
DOCONFGL_00143	CDS	912	panE	1.1.1.169	COG1893	2-dehydropantoate 2-reductase
DOCONFGL_00144	CDS	594	yajL	3.1.2.-	COG0693	Protein/nucleic acid deglycase 3
DOCONFGL_00145	CDS	477				hypothetical protein
DOCONFGL_00146	CDS	1449	thiI	2.8.1.4	COG0301	tRNA sulfurtransferase
DOCONFGL_00147	CDS	243	xseB	3.1.11.6	COG1722	Exodeoxyribonuclease 7 small subunit
DOCONFGL_00148	CDS	900	ispA	2.5.1.10	COG0142	Farnesyl diphosphate synthase
